step,elapsed_sec,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_soft_cell_acc,plus1_obj_soft_board_acc,plus1_obj_hard_cell_acc,plus1_obj_hard_board_acc,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_soft_cell_acc,minus1_obj_soft_board_acc,minus1_obj_hard_cell_acc,minus1_obj_hard_board_acc,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_soft_cell_acc,plus2_obj_soft_board_acc,plus2_obj_hard_cell_acc,plus2_obj_hard_board_acc,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_soft_cell_acc,minus2_obj_soft_board_acc,minus2_obj_hard_cell_acc,minus2_obj_hard_board_acc,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_soft_cell_acc,plus3_obj_soft_board_acc,plus3_obj_hard_cell_acc,plus3_obj_hard_board_acc,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_soft_cell_acc,minus3_obj_soft_board_acc,minus3_obj_hard_cell_acc,minus3_obj_hard_board_acc,minus3_obj_entropy,minus3_objective,j_plus,j_minus,raw_scalar,scalar,param_l2,param_max_abs,params_finite,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_hard_cell_acc,obj_hard_board_acc,obj_entropy,objective
1,0.904,0.003735351376235485,0.003735351376235485,0.7085127830505371,0.4935624897480011,-0.025724513456225395,0.48713773488998413,1.1358790827164392e-37,0.37353515625,0.0,0.6906652450561523,0.003735351376235485,0.7227222323417664,0.48769548535346985,-0.048754554241895676,0.4756227135658264,1.633761282667837e-34,0.37353515625,0.0,0.6882756948471069,0.003735351376235485,0.003735351376235485,0.003735351376235485,0.7139058113098145,0.4916590452194214,-0.033251576125621796,0.4833741784095764,7.688540919758025e-36,0.37353515625,0.0,0.6891017556190491,0.003735351376235485,0.742329478263855,0.4808095693588257,-0.0750151053071022,0.4624924063682556,7.810550208784442e-30,0.37353515625,0.0,0.6827237010002136,0.003735351376235485,0.0037440320011228323,0.0037120224442332983,0.6944639682769775,0.499769002199173,-0.0010011073900386691,0.49949944019317627,6.294072182361348e-41,0.3744032084941864,0.0,0.6922802329063416,0.0037440320011228323,0.7136343717575073,0.4904535710811615,-0.03801531717181206,0.48099231719970703,2.0351898376467913e-39,0.3712022602558136,0.0,0.6917831897735596,0.0037120224442332983,0.003735351376235485,0.003735351376235485,6.859190762043e-07,6.859190762043e-07,19.056314514865647,1.0000005960464478,True,0.708793431520462,0.3710123697916667,0.0,0.708793431520462,0.49339062720537186,-0.026407990604639053,0.4867960065603256,1.1352731612604651e-37,0.3710123747587204,0.0,0.690728560090065,0.003710123710334301
250,67.872,0.003772514872252941,0.003772514872252941,0.709333598613739,0.49293434619903564,-0.028172943741083145,0.48591354489326477,4.5616662288353847e-38,0.3772515058517456,0.0,0.6911098957061768,0.003772514872252941,0.7104833126068115,0.4932444989681244,-0.0270839873701334,0.48645803332328796,1.09795003628907e-35,0.3772515058517456,0.0,0.6893213987350464,0.003772514872252941,0.003772514872252941,0.003772514872252941,0.7106411457061768,0.49220243096351624,-0.031063387170433998,0.4844683110713959,2.2917025662159207e-38,0.3772515058517456,0.0,0.6912719011306763,0.003772514872252941,0.7154197692871094,0.4914454221725464,-0.03421110659837723,0.4828944802284241,2.90384298029049e-34,0.3772515058517456,0.0,0.688002347946167,0.003772514872252941,0.007687716744840145,0.003772514872252941,0.7024136781692505,0.4955194294452667,-0.01790449768304825,0.491047739982605,1.7095841264762768e-42,0.3781467080116272,0.00390625,0.6928449273109436,0.007687716744840145,0.7140265703201294,0.491691529750824,-0.03316901624202728,0.48341548442840576,3.451525772559008e-35,0.3772515058517456,0.0,0.6889077425003052,0.003772514872252941,0.003772514872252941,0.003772514872252941,5.276906929110854e-06,5.276906929110854e-06,19.056220081089645,1.0004557371139526,True,0.7101911455392838,0.353271484375,0.0,0.7101911455392838,0.49260686337947845,-0.02953410893678665,0.4852329194545746,3.5553623424532095e-38,0.3532714918255806,0.0,0.6908994168043137,0.0035327148507349193
500,136.064,0.003923339769244194,0.003923339769244194,0.7046617865562439,0.4953911006450653,-0.01845986768603325,0.4907700717449188,8.448464314655009e-38,0.392333984375,0.0,0.690849781036377,0.003923339769244194,0.7012588381767273,0.4965904951095581,-0.013649470172822475,0.49317529797554016,1.4912618257344703e-39,0.392333984375,0.0,0.6918537616729736,0.003923339769244194,0.003923339769244194,0.003987087402492762,0.7084295749664307,0.49404558539390564,-0.02382594905793667,0.4880870282649994,2.402722219503701e-36,0.392333984375,0.0,0.6897798180580139,0.003923339769244194,0.6916253566741943,0.5008175373077393,0.0032646027393639088,0.5016323328018188,3.3350903450930646e-43,0.3987087607383728,0.0,0.6930330991744995,0.003987087402492762,0.003923339769244194,0.006076660007238388,0.7176932096481323,0.4910287857055664,-0.03578881919384003,0.4821055829524994,3.620588722089879e-33,0.392333984375,0.0,0.6865882277488708,0.003923339769244194,0.6829080581665039,0.5055665969848633,0.022210203111171722,0.5111051201820374,1.301806273357755e-41,0.607666015625,0.0,0.6922444105148315,0.006076660007238388,0.003923339769244194,0.003923339769244194,-2.0912488650987027e-06,-2.0912488650987027e-06,19.056391053305703,1.000657320022583,True,0.708374097943306,0.3636338975694444,0.0,0.708374097943306,0.4934634268283844,-0.026123284362256527,0.48693834245204926,3.3393330214210393e-38,0.3636339008808136,0.0,0.6910003870725632,0.003636338922660798
750,204.112,0.003606499405577779,0.003606499405577779,0.7099183797836304,0.4928174614906311,-0.02869417518377304,0.4856529235839844,9.352166178453169e-38,0.3606499433517456,0.0,0.6907508969306946,0.003606499405577779,0.7090151906013489,0.49305397272109985,-0.027734331786632538,0.48613283038139343,2.436154577631766e-38,0.3606499433517456,0.0,0.6911820769309998,0.003606499405577779,0.003606499405577779,0.003606499405577779,0.7250453233718872,0.48645108938217163,-0.05367917940020561,0.47316038608551025,4.772591151214657e-35,0.3606499433517456,0.0,0.688449501991272,0.003606499405577779,0.7135891914367676,0.4910231828689575,-0.03576193377375603,0.48211902379989624,1.5476229468006316e-37,0.3606499433517456,0.0,0.6906874179840088,0.003606499405577779,0.003606499405577779,0.003606499405577779,0.7579755783081055,0.4742792546749115,-0.09966082870960236,0.45016956329345703,2.1279002616325255e-29,0.3606499433517456,0.0,0.6804359555244446,0.003606499405577779,0.7247536182403564,0.4864353537559509,-0.053748827427625656,0.4731255769729614,3.862962283685307e-35,0.3606499433517456,0.0,0.6887691617012024,0.003606499405577779,0.003606499405577779,0.003606499405577779,0.0,0.0,19.05636111122826,1.0006154775619507,True,0.706975981593132,0.3699679904513889,0.0,0.706975981593132,0.4941134601831436,-0.02353647258132696,0.48823177069425583,2.961002264426609e-38,0.3699679896235466,0.0,0.6910959631204605,0.003699679800774902
1000,272.111,0.0036444771103560925,0.0036444771103560925,0.7096498012542725,0.4931137263774872,-0.027542419731616974,0.4862287938594818,1.6573292583260958e-37,0.3644477128982544,0.0,0.6904224157333374,0.0036444771103560925,0.7098331451416016,0.4927026927471161,-0.029117967933416367,0.4854409992694855,1.5683458529585142e-38,0.3644477128982544,0.0,0.6910707950592041,0.0036444771103560925,0.0036444771103560925,0.0036444771103560925,0.7168839573860168,0.49061018228530884,-0.03753187879920006,0.481234073638916,6.437290607197234e-35,0.3644477128982544,0.0,0.6882107257843018,0.0036444771103560925,0.7155407667160034,0.4900769591331482,-0.03947790712118149,0.48026105761528015,6.968949293687281e-38,0.3644477128982544,0.0,0.6906400322914124,0.0036444771103560925,0.0036444771103560925,0.0036444771103560925,0.725662887096405,0.4875851273536682,-0.04944569990038872,0.4752771556377411,1.3986820836666566e-32,0.3644477128982544,0.0,0.6855356693267822,0.0036444771103560925,0.7168421745300293,0.48919835686683655,-0.04296185448765755,0.478519082069397,1.2365438802384482e-38,0.3644477128982544,0.0,0.6910994648933411,0.0036444771103560925,0.0036444771103560925,0.0036444771103560925,0.0,0.0,19.056578042460004,1.0007325410842896,True,0.7047902047634125,0.3824055989583333,0.0,0.7047902047634125,0.4951419308781624,-0.019439633237197995,0.4902801737189293,1.9341377562617045e-38,0.3824056014418602,0.0,0.6912215501070023,0.0038240558933466673
1250,340.179,0.0036618381273001432,0.0036618381273001432,0.7164750099182129,0.49001345038414,-0.039731163531541824,0.48013442754745483,1.302907312797532e-36,0.3661838173866272,0.0,0.6898359656333923,0.0036618381273001432,0.698660671710968,0.4977632164955139,-0.009004486724734306,0.49549776315689087,2.082721881556689e-40,0.3661838173866272,0.0,0.6920984983444214,0.0036618381273001432,0.0036618381273001432,0.0036618381273001432,0.7240413427352905,0.487138956785202,-0.05097755417227745,0.4745112657546997,1.0916736827971148e-34,0.3661838173866272,0.0,0.6880712509155273,0.0036618381273001432,0.7011996507644653,0.49668943881988525,-0.013306304812431335,0.49334684014320374,1.2629426617481706e-39,0.3661838173866272,0.0,0.691706657409668,0.0036618381273001432,0.0036618381273001432,0.0036618381273001432,0.7247840762138367,0.487040638923645,-0.05137317627668381,0.4743134081363678,2.4317419493037006e-34,0.3661838173866272,0.0,0.6875289678573608,0.0036618381273001432,0.7206623554229736,0.4886988401412964,-0.04491867125034332,0.47754064202308655,4.4155703284071483e-35,0.3661838173866272,0.0,0.688298225402832,0.0036618381273001432,0.0036618381273001432,0.0036618381273001432,0.0,0.0,19.056283590820343,1.000984787940979,True,0.7044546008110046,0.3796929253472222,0.0,0.7044546008110046,0.4952498599886894,-0.019010648131370544,0.4904946908354759,1.2375479456205986e-38,0.3796929195523262,0.0,0.6913406252861023,0.0037969290860928595
1500,408.229,0.003695475170388818,0.003695475170388818,0.6984272003173828,0.497772216796875,-0.008943677879869938,0.4955281615257263,8.460899997746813e-41,0.3695475161075592,0.0,0.6923177242279053,0.003695475170388818,0.7136962413787842,0.4913768768310547,-0.03437354788184166,0.4828132092952728,1.81504571437671e-36,0.3695475161075592,0.0,0.6898715496063232,0.003695475170388818,0.003695475170388818,0.003695475170388818,0.6977288722991943,0.4980660080909729,-0.007764978334307671,0.4961174726486206,4.3557961465072614e-41,0.3695475161075592,0.0,0.6924291253089905,0.003695475170388818,0.7181496024131775,0.48963621258735657,-0.04121997579932213,0.479390025138855,2.4168054798254544e-35,0.3695475161075592,0.0,0.6889238357543945,0.003695475170388818,0.003695475170388818,0.003695475170388818,0.7043749690055847,0.4950782060623169,-0.019677409902215004,0.49016129970550537,2.1559215094376246e-39,0.3695475161075592,0.0,0.6917660236358643,0.003695475170388818,0.7145987749099731,0.49098408222198486,-0.035916391760110855,0.48204177618026733,2.761997388502444e-36,0.3695475161075592,0.0,0.6897599101066589,0.003695475170388818,0.003695475170388818,0.003695475170388818,0.0,0.0,19.056226280239827,1.000942349433899,True,0.7067670077085495,0.3569064670138889,0.0,0.7067670077085495,0.4940807968378067,-0.023673552554100752,0.48816319555044174,5.933252191106967e-39,0.3569064661860466,0.0,0.6913684904575348,0.003569064545445144
1750,476.306,0.0035373263526707888,0.0035373263526707888,0.7036228775978088,0.4955084025859833,-0.018007267266511917,0.4909963607788086,1.8477297342832746e-39,0.3537326455116272,0.0,0.6916494369506836,0.0035373263526707888,0.7152040004730225,0.4902670085430145,-0.03876333683729172,0.48061835765838623,9.247268899049514e-38,0.3537326455116272,0.0,0.690589189529419,0.0035373263526707888,0.0035373263526707888,0.0035373263526707888,0.7000220417976379,0.4971124231815338,-0.011606062762439251,0.4941970109939575,2.6770405862461305e-40,0.3537326455116272,0.0,0.6920389533042908,0.0035373263526707888,0.7210886478424072,0.4874894320964813,-0.049688681960105896,0.47515568137168884,1.672024170854023e-37,0.3537326455116272,0.0,0.6902920603752136,0.0035373263526707888,0.0035373263526707888,0.0035373263526707888,0.6920239925384521,0.5008255243301392,0.0032399955671280622,0.5016199946403503,4.862505671207115e-42,0.3537326455116272,0.0,0.6926093697547913,0.0035373263526707888,0.7156566977500916,0.48945745825767517,-0.04198680818080902,0.4790066182613373,3.2417918933383183e-40,0.3537326455116272,0.0,0.6917551159858704,0.0035373263526707888,0.0035373263526707888,0.0035373263526707888,0.0,0.0,19.056007158322462,1.0010958909988403,True,0.7057591676712036,0.3630235460069444,0.0,0.7057591676712036,0.4945531040430069,-0.021790239959955215,0.48910486698150635,5.946324554156037e-39,0.363023541867733,0.0,0.6914305686950684,0.0036302353837527335
2000,544.302,0.0037193468306213617,0.0037193468306213617,0.7032666802406311,0.4954756498336792,-0.01808420568704605,0.4909578859806061,3.4683258030810682e-40,0.3719346821308136,0.0,0.6920793056488037,0.0037193468306213617,0.7072613835334778,0.49420154094696045,-0.023221343755722046,0.48838934302330017,1.3862128697850361e-37,0.3719346821308136,0.0,0.6906295418739319,0.0037193468306213617,0.0037193468306213617,0.0037193468306213617,0.7017983198165894,0.4960220158100128,-0.015898389741778374,0.49205079674720764,3.727594044950446e-41,0.3719346821308136,0.0,0.6924545168876648,0.0037193468306213617,0.7136906385421753,0.49157196283340454,-0.033618636429309845,0.4831906855106354,4.355062000636608e-36,0.3719346821308136,0.0,0.6894844770431519,0.0037193468306213617,0.0037193468306213617,0.0037193468306213617,0.7008926868438721,0.4963840842247009,-0.014451919123530388,0.49277400970458984,1.0023487915315417e-41,0.3719346821308136,0.0,0.6926356554031372,0.0037193468306213617,0.7167943120002747,0.49025583267211914,-0.038773443549871445,0.4806132912635803,1.3277709482977724e-35,0.3719346821308136,0.0,0.6890341639518738,0.0037193468306213617,0.0037193468306213617,0.0037193468306213617,0.0,0.0,19.0559301276533,1.0011235475540161,True,0.7058524489402771,0.3585883246527778,0.0,0.7058524489402771,0.4944714680314064,-0.02211619564332068,0.48894190788269043,5.7489754875297805e-39,0.3585883229970932,0.0,0.6915004700422287,0.0035858831834048033
2250,611.435,0.003476019948720932,0.003476019948720932,0.7093591690063477,0.49270904064178467,-0.029106609523296356,0.4854467213153839,2.118753468969873e-39,0.3476020097732544,0.0,0.6915284395217896,0.003476019948720932,0.7069194316864014,0.49407121539115906,-0.023743469268083572,0.4881282448768616,6.511640584529348e-39,0.3476020097732544,0.0,0.691230297088623,0.003476019948720932,0.003476019948720932,0.003476019948720932,0.7161224484443665,0.4897438585758209,-0.04083931818604469,0.4795803427696228,4.496001102537431e-38,0.3476020097732544,0.0,0.6907191872596741,0.003476019948720932,0.7102515697479248,0.49270185828208923,-0.02919824980199337,0.48540088534355164,5.100005582212285e-38,0.3476020097732544,0.0,0.6906424760818481,0.003476019948720932,0.003476019948720932,0.003476019948720932,0.7236723303794861,0.4866214394569397,-0.05310392379760742,0.4734480082988739,1.9293016272314914e-36,0.3476020097732544,0.0,0.6894574165344238,0.003476019948720932,0.7112138271331787,0.49230247735977173,-0.030781712383031845,0.48460912704467773,8.198295544493571e-38,0.3476020097732544,0.0,0.6904819011688232,0.003476019948720932,0.003476019948720932,0.003476019948720932,0.0,0.0,19.055957364106806,1.0012723207473755,True,0.7028195858001709,0.3830295138888889,0.0,0.7028195858001709,0.4959571361541748,-0.016191859729588032,0.4919040873646736,5.465828769503692e-39,0.3830295130610466,0.0,0.6915589272975922,0.00383029505610466
