step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,2.339,2,0.6811170428991318,0.6383599175347222,0.0,0.634796142578125,0.0,0.0007727249176241457,-0.6804013848304749,-0.6832858324050903,0.0023033858742564917,26.40804100036621,1.0032085180282593,True
250,182.593,0,0.6814025491476059,0.6393229166666666,0.0,0.6348944769965278,0.0,0.0005210826639086008,-0.6816380023956299,-0.6815710067749023,5.248342495178804e-05,26.408172607421875,1.0003907680511475,True
500,364.541,1,0.6810550093650818,0.6389702690972222,0.0,0.6286892361111112,0.0,0.00045136528206057847,-0.6819531321525574,-0.6784753799438477,4.65853518107906e-05,26.408292770385742,1.001955270767212,True
750,546.433,2,0.6810941696166992,0.6393364800347222,0.0,0.62579345703125,0.0,0.00040663560503162444,-0.6799004673957825,-0.6832798719406128,3.550542169250548e-05,26.407819747924805,1.0018266439437866,True
1000,728.311,0,0.6818093210458755,0.6334228515625,0.0,0.6290724012586805,0.0,0.00037351445644162595,-0.6826966404914856,-0.6844819784164429,2.0886056518065743e-05,26.408082962036133,1.0006098747253418,True
1250,910.172,3,0.6817012429237366,0.6334499782986112,0.0,0.6281500922309028,0.0,0.0003472395474091172,-0.683499813079834,-0.6837483048439026,1.336034620180726e-05,26.40836524963379,1.0016839504241943,True
1500,1092.156,0,0.680303692817688,0.6512858072916666,0.0,0.6424357096354166,0.0,0.0003255163610447198,-0.6836702823638916,-0.6814348697662354,1.7312690033577383e-05,26.408052444458008,1.000680923461914,True
1750,1274.176,0,0.6816824078559875,0.6346706814236112,0.0,0.6309678819444444,0.0,0.00030704945675097406,-0.6805288791656494,-0.6805703639984131,9.58022428676486e-06,26.408039093017578,1.0007063150405884,True
2000,1456.109,3,0.6812822222709656,0.6384955512152778,0.0,0.632961697048611,0.0,0.0002910334151238203,-0.6800210475921631,-0.6833657026290894,1.9104976672679186e-05,26.40827751159668,1.001542091369629,True
2250,1637.892,3,0.6816135495901108,0.6344401041666666,0.0,0.6305575900607638,0.0,0.0002769297861959785,-0.6812107563018799,-0.6813874840736389,7.4765216595551465e-06,26.40825653076172,1.0015101432800293,True
2500,1819.68,2,0.6815628409385681,0.6339518229166666,0.0,0.6318495008680556,0.0,0.00026436097687110305,-0.683279275894165,-0.6821320652961731,8.478185009153094e-06,26.407806396484375,1.0015848875045776,True
2750,2001.495,3,0.6817998439073563,0.6321207682291666,0.0,0.6263902452256944,0.0,0.00025305425515398383,-0.6816633343696594,-0.6817235350608826,6.019215561536839e-06,26.408226013183594,1.0014501810073853,True
3000,2183.34,0,0.6812632083892822,0.6392686631944444,0.0,0.6332838270399306,0.0,0.00024279764329548925,-0.6842647194862366,-0.6815621852874756,1.2532658729469404e-05,26.407987594604492,1.0008013248443604,True
3250,2365.24,1,0.6810030937194824,0.6402316623263888,0.0,0.6338636610243055,0.0,0.00023343184147961438,-0.6807807087898254,-0.6823399662971497,8.029329364944715e-06,26.408061981201172,1.0015290975570679,True
3500,2547.037,1,0.6803881078958511,0.6474880642361112,0.0,0.6323784722222222,0.0,0.0002248270029667765,-0.6825969815254211,-0.6848673224449158,9.931382919603493e-06,26.40806007385254,1.0015124082565308,True
3750,2728.794,3,0.6813572943210602,0.6373155381944444,0.0,0.6258273654513888,0.0,0.00021688292326871306,-0.678686261177063,-0.6806755065917969,8.590638572059106e-06,26.4082088470459,1.0013997554779053,True
