step,elapsed_sec,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_soft_cell_acc,plus1_obj_soft_board_acc,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_soft_cell_acc,minus1_obj_soft_board_acc,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_soft_cell_acc,plus2_obj_soft_board_acc,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_soft_cell_acc,minus2_obj_soft_board_acc,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_soft_cell_acc,plus3_obj_soft_board_acc,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_soft_cell_acc,minus3_obj_soft_board_acc,minus3_obj_entropy,minus3_objective,j_plus,j_minus,raw_scalar,scalar,param_l2,param_max_abs,params_finite,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_entropy,objective
1,0.671,0.3904707133769989,0.3922186493873596,1.398230791091919,0.24919098615646362,-0.14461392164230347,0.4276930093765259,0.0010407424997538328,1.377896785736084,0.3904707133769989,1.3977570533752441,0.24918416142463684,-0.1419718861579895,0.42901402711868286,0.0010713927913457155,1.3783373832702637,0.3922186493873596,0.3892805278301239,0.3928741216659546,1.3985729217529297,0.2491888552904129,-0.14642061293125153,0.42678967118263245,0.0010208741296082735,1.3775930404663086,0.3892805278301239,1.3975803852081299,0.24918141961097717,-0.140986829996109,0.4295065701007843,0.0010835621505975723,1.3784937858581543,0.3928741216659546,0.3878280520439148,0.39347001910209656,1.3990094661712646,0.24917973577976227,-0.14863073825836182,0.4256846308708191,0.0009973335545510054,1.377223014831543,0.3878280520439148,1.3974099159240723,0.24918349087238312,-0.1400943249464035,0.42995283007621765,0.001094964798539877,1.3786232471466064,0.39347001910209656,0.3904707133769989,0.3922186493873596,-0.0018472160611833844,-5e-05,18.97253205984233,1.0000499486923218,True,1.3968658745288849,0.246337890625,0.0,1.3968658745288849,0.24946416914463043,-0.14176497608423233,0.42911750078201294,0.0010833125561475754,1.378153145313263,0.3924202546477318
250,23.481,0.40243375301361084,0.40317466855049133,1.3946316242218018,0.24965476989746094,-0.12660464644432068,0.43669766187667847,0.0012578353052958846,1.3795952796936035,0.40243375301361084,1.3944530487060547,0.24963286519050598,-0.1254846602678299,0.43725767731666565,0.0012709104921668768,1.3798435926437378,0.40317466855049133,0.4021443724632263,0.40365251898765564,1.394702434539795,0.24966663122177124,-0.1270424872636795,0.43647873401641846,0.0012527892831712961,1.3794851303100586,0.4021443724632263,1.3943414688110352,0.2496235966682434,-0.12476322799921036,0.4376183748245239,0.0012794611975550652,1.3799831867218018,0.40365251898765564,0.4018928110599518,0.40421977639198303,1.394763708114624,0.24967855215072632,-0.12742337584495544,0.4362882971763611,0.0012484228936955333,1.3793834447860718,0.4018928110599518,1.394212007522583,0.24961596727371216,-0.1239076554775238,0.4380461871623993,0.0012897204142063856,1.3801337480545044,0.40421977639198303,0.40243375301361084,0.40317466855049133,-4.824270481864652e-05,-4.824270481864652e-05,18.97195459654484,1.002084493637085,True,1.3953022956848145,0.249267578125,0.0,1.3953022956848145,0.24946531280875206,-0.12665468268096447,0.4366726577281952,0.0012634828162845224,1.3797248005867004,0.4024185538291931
500,46.297,0.41066285967826843,0.41052472591400146,1.39522385597229,0.24911555647850037,-0.11423929035663605,0.4428803324699402,0.0014221854507923126,1.3810701370239258,0.41066285967826843,1.3952593803405762,0.24913093447685242,-0.11444977670907974,0.44277510046958923,0.0014199592405930161,1.380964994430542,0.41052472591400146,0.41060537099838257,0.41034069657325745,1.3952336311340332,0.24910368025302887,-0.11432206630706787,0.44283896684646606,0.001420650165528059,1.3811120986938477,0.41060537099838257,1.3953027725219727,0.2491343915462494,-0.11472579836845398,0.4426370859146118,0.001416450017131865,1.3809038400650024,0.41034069657325745,0.410455584526062,0.41008758544921875,1.3952631950378418,0.24908901751041412,-0.11454179137945175,0.44272908568382263,0.001417186576873064,1.3811454772949219,0.410455584526062,1.3953616619110107,0.2491351068019867,-0.115104541182518,0.4424477219581604,0.0014115110971033573,1.38083815574646,0.41008758544921875,0.41066285967826843,0.41052472591400146,5.623726711005631e-06,5.623726711005631e-06,18.97178965702729,1.0031172037124634,True,1.3938970863819122,0.249267578125,0.0,1.3938970863819122,0.24948567524552345,-0.1120786052197218,0.44396068900823593,0.0014582525473088026,1.3810316920280457,0.41216615587472916
750,69.168,0.42228856682777405,0.4256751835346222,1.3896238803863525,0.25030866265296936,-0.09713863581418991,0.45143067836761475,0.0016728463815525174,1.381892204284668,0.42228856682777405,1.3893470764160156,0.2502667307853699,-0.09217382222414017,0.4539130926132202,0.001753283548168838,1.382345199584961,0.4256751835346222,0.42072755098342896,0.42750170826911926,1.389739990234375,0.25032877922058105,-0.09943411499261856,0.4502829313278198,0.0016365709016099572,1.3816893100738525,0.42072755098342896,1.3891899585723877,0.2502446174621582,-0.08950487524271011,0.45524755120277405,0.0017976947128772736,1.3825925588607788,0.42750170826911926,0.4192526340484619,0.4294162392616272,1.3898398876190186,0.25034844875335693,-0.10160700976848602,0.4491964876651764,0.0016027314122766256,1.3815031051635742,0.4192526340484619,1.389024257659912,0.2502215504646301,-0.08671414852142334,0.45664292573928833,0.0018450355855748057,1.3828511238098145,0.4294162392616272,0.42228856682777405,0.4256751835346222,-0.00012287978725117058,-5e-05,18.971607093296768,1.0039795637130737,True,1.3917474746704102,0.25146484375,0.0,1.3917474746704102,0.24972888082265854,-0.09691095165908337,0.45154452323913574,0.0016805687337182462,1.3821181654930115,0.42242132127285004
1000,92.019,0.43431249260902405,0.43200239539146423,1.3903019428253174,0.2498321682214737,-0.07965277135372162,0.4601736068725586,0.0019820374436676502,1.3830945491790771,0.43431249260902405,1.3904684782028198,0.24982035160064697,-0.08298147469758987,0.45850926637649536,0.001920135342516005,1.3829967975616455,0.43200239539146423,0.43537235260009766,0.43094968795776367,1.3901976346969604,0.2498438060283661,-0.07813068479299545,0.46093466877937317,0.00201094220392406,1.3831405639648438,0.43537235260009766,1.3905260562896729,0.24982045590877533,-0.08449900895357132,0.45775049924850464,0.001891924999654293,1.3829481601715088,0.43094968795776367,0.43554776906967163,0.42998576164245605,1.3900823593139648,0.24985894560813904,-0.07789507508277893,0.46105247735977173,0.0020172824151813984,1.3831827640533447,0.43554776906967163,1.3905633687973022,0.24982470273971558,-0.08588829636573792,0.45705586671829224,0.0018659940687939525,1.3829022645950317,0.42998576164245605,0.43431249260902405,0.43200239539146423,6.245450853990528e-05,5e-05,18.972511433739395,1.004718542098999,True,1.3910669386386871,0.24755859375,0.0,1.3910669386386871,0.249659713357687,-0.08191450498998165,0.4590427502989769,0.0019402757461648434,1.3830499351024628,0.43273134529590607
1250,114.801,0.44338470697402954,0.442463219165802,1.3890758752822876,0.24993254244327545,-0.06657563149929047,0.46671220660209656,0.0022223147097975016,1.3838815689086914,0.44338470697402954,1.3892205953598022,0.24988825619220734,-0.06790045648813248,0.46604976058006287,0.0021975827403366566,1.3839142322540283,0.442463219165802,0.44375041127204895,0.44191381335258484,1.389020323753357,0.2499527484178543,-0.06604871898889542,0.4669756591320038,0.002232009544968605,1.3838577270507812,0.44375041127204895,1.3893091678619385,0.24986444413661957,-0.06868987530469894,0.46565505862236023,0.0021827868185937405,1.3839218616485596,0.44191381335258484,0.4440681040287018,0.4413210451602936,1.3889760971069336,0.2499714493751526,-0.06558975577354431,0.46720510721206665,0.002240300178527832,1.3838292360305786,0.4440681040287018,1.3894081115722656,0.24983976781368256,-0.06954140961170197,0.4652293026447296,0.0021668088156729937,1.3839232921600342,0.4413210451602936,0.44338470697402954,0.442463219165802,2.5748090561636266e-05,2.5748090561636266e-05,18.972273757932662,1.0050278902053833,True,1.3894715905189514,0.258056640625,0.0,1.3894715905189514,0.24983661621809006,-0.06749994680285454,0.4662500247359276,0.0022057725000195205,1.3838943541049957,0.44273947179317474
1500,137.678,0.45051509141921997,0.44918927550315857,1.3898067474365234,0.24956847727298737,-0.05643916875123978,0.4717804193496704,0.0024349403101950884,1.3846426010131836,0.45051509141921997,1.3903262615203857,0.24949413537979126,-0.05829038843512535,0.47085481882095337,0.002394001232460141,1.3844413757324219,0.44918927550315857,0.4510732889175415,0.44840070605278015,1.3895506858825684,0.24960829317569733,-0.05566207692027092,0.4721689522266388,0.0024523120373487473,1.3847293853759766,0.4510732889175415,1.3905839920043945,0.24946027994155884,-0.059396080672740936,0.4703019857406616,0.0023699989542365074,1.3843297958374023,0.44840070605278015,0.4515670835971832,0.4475381076335907,1.3893007040023804,0.24964937567710876,-0.05497588962316513,0.47251206636428833,0.0024677240289747715,1.3848053216934204,0.4515670835971832,1.3908370733261108,0.24942898750305176,-0.060609228909015656,0.46969538927078247,0.002344077918678522,1.384212613105774,0.4475381076335907,0.45051509141921997,0.44918927550315857,3.434271933329488e-05,3.434271933329488e-05,18.972916482730895,1.0055781602859497,True,1.3906958103179932,0.31298828125,0.0,1.3906958103179932,0.2493671402335167,-0.058109317906200886,0.4709453359246254,0.002398451790213585,1.384543538093567,0.4493127465248108
1750,160.516,0.4603421986103058,0.45901399850845337,1.387053370475769,0.2501119375228882,-0.04268130660057068,0.47865933179855347,0.002738417824730277,1.385129690170288,0.4603421986103058,1.3871517181396484,0.250103235244751,-0.044525712728500366,0.477737158536911,0.002694485243409872,1.385067105293274,0.45901399850845337,0.4600338041782379,0.45752233266830444,1.3869960308074951,0.2501206398010254,-0.0431109182536602,0.47844451665878296,0.0027280577924102545,1.3851516246795654,0.4600338041782379,1.3871945142745972,0.25010302662849426,-0.04660966992378235,0.47669517993927,0.0026464012917131186,1.3850255012512207,0.45752233266830444,0.45957672595977783,0.4559466540813446,1.3869324922561646,0.25013235211372375,-0.043745871633291245,0.47812706232070923,0.0027125831693410873,1.3851678371429443,0.45957672595977783,1.3872346878051758,0.2501053810119629,-0.0488162636756897,0.47559186816215515,0.0025962158106267452,1.3849763870239258,0.4559466540813446,0.4603421986103058,0.45901399850845337,2.922007932833849e-05,2.922007932833849e-05,18.972751681833703,1.004606008529663,True,1.389253944158554,0.318115234375,0.0,1.389253944158554,0.24958455935120583,-0.0449899360537529,0.47750503569841385,0.0026847186381928623,1.3851001560688019,0.4586445614695549
2000,183.37,0.4673130214214325,0.46626150608062744,1.388188362121582,0.2497333288192749,-0.03299771621823311,0.483501136302948,0.002975081093609333,1.3854985237121582,0.4673130214214325,1.388049840927124,0.24977895617485046,-0.034447863698005676,0.48277607560157776,0.002938241930678487,1.3854591846466064,0.46626150608062744,0.46748554706573486,0.46520334482192993,1.388270616531372,0.24970868229866028,-0.032757923007011414,0.4836210310459137,0.0029811449348926544,1.3855128288269043,0.46748554706573486,1.387995958328247,0.2497996836900711,-0.03590856119990349,0.4820457100868225,0.0029016791377216578,1.3854328393936157,0.46520334482192993,0.46757128834724426,0.4638550579547882,1.3883602619171143,0.24968305230140686,-0.03263694792985916,0.48368149995803833,0.002984139136970043,1.3855239152908325,0.46757128834724426,1.3879534006118774,0.2498188465833664,-0.03777455911040306,0.4811127185821533,0.0028557709883898497,1.3854013681411743,0.4638550579547882,0.4673130214214325,0.46626150608062744,2.6573540270041275e-05,2.6573540270041275e-05,18.972164089924803,1.0051108598709106,True,1.388000100851059,0.34814453125,0.0,1.388000100851059,0.2497858852148056,-0.03315299563109875,0.48342349380254745,0.002970594505313784,1.3854822516441345,0.4672011584043503
2250,206.19,0.4744691848754883,0.4745346009731293,1.386794090270996,0.25000113248825073,-0.023235825821757317,0.48838210105895996,0.0032293067779392004,1.3857885599136353,0.4744691848754883,1.3867337703704834,0.25002458691596985,-0.023150458931922913,0.48842474818229675,0.0032319091260433197,1.3857548236846924,0.4745346009731293,0.4740757644176483,0.474357008934021,1.3868134021759033,0.24999316036701202,-0.023769764229655266,0.488115131855011,0.0032147823367267847,1.3858017921447754,0.4740757644176483,1.386692762374878,0.2500399351119995,-0.023393578827381134,0.48830321431159973,0.0032254031393676996,1.3857345581054688,0.474357008934021,0.47344067692756653,0.474101185798645,1.3868263959884644,0.2499876767396927,-0.024634752422571182,0.48768264055252075,0.0031916010193526745,1.3858119249343872,0.47344067692756653,1.3866448402404785,0.2500576376914978,-0.0237426720559597,0.488128662109375,0.0032159495167434216,1.3857128620147705,0.474101185798645,0.4744691848754883,0.4745346009731293,-3.899190592267034e-06,-3.899190592267034e-06,18.972272441082197,1.0052474737167358,True,1.3877946734428406,0.2861328125,0.0,1.3877946734428406,0.24976199492812157,-0.024325537495315075,0.4878372400999069,0.0031995876342989504,1.3857624530792236,0.47364670783281326
2500,229.022,0.47618135809898376,0.47761020064353943,1.3881100416183472,0.24963822960853577,-0.020892949774861336,0.4895535111427307,0.003295877482742071,1.3859370946884155,0.47618135809898376,1.387942910194397,0.24966096878051758,-0.01895056664943695,0.4905247092247009,0.0033478906843811274,1.386017084121704,0.47761020064353943,0.47515085339546204,0.4778446555137634,1.3882181644439697,0.24962390959262848,-0.02229425683617592,0.488852858543396,0.003258357523009181,1.3858858346939087,0.47515085339546204,1.3878824710845947,0.24966970086097717,-0.01863112673163414,0.490684449672699,0.003356190165504813,1.3860454559326172,0.4778446555137634,0.4739915430545807,0.47769880294799805,1.388343334197998,0.2496074140071869,-0.023872317746281624,0.4880638122558594,0.0032163611613214016,1.3858270645141602,0.4739915430545807,1.3878369331359863,0.2496768683195114,-0.018828056752681732,0.49058598279953003,0.0033504674211144447,1.3860657215118408,0.47769880294799805,0.47618135809898376,0.47761020064353943,-2.5426320819423406e-05,-2.5426320819423406e-05,18.972957894204807,1.0050925016403198,True,1.3878827095031738,0.2470703125,0.0,1.3878827095031738,0.24968334287405014,-0.019553857389837503,0.49022306501865387,0.0033315967302769423,1.3859818577766418,0.4771680012345314
