step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_entropy,minus3_objective,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,1.528,0,0.6944808661937714,0.439453125,0.0,0.43017578125,0.0,0.000780416710767895,0.42940759658813477,0.42970010638237,0.6947777271270752,0.49920380115509033,-0.0031842906028032303,0.6931090354919434,0.42940759658813477,0.6943931579589844,0.4993852972984314,-0.002458553994074464,0.6931306719779968,0.42970010638237,0.4292454421520233,0.4298362135887146,0.6949955224990845,0.49910351634025574,-0.0035853057634085417,0.6930920481681824,0.4292454421520233,0.6942175030708313,0.4994699954986572,-0.0021200315095484257,0.6931368112564087,0.4298362135887146,0.4290691614151001,0.4299692213535309,0.6952356696128845,0.49899473786354065,-0.004020090214908123,0.6930693984031677,0.4290691614151001,0.6940476894378662,0.499552845954895,-0.0017884836997836828,0.6931409239768982,0.4299692213535309,0.42940759658813477,0.42970010638237,0.0010420075850561261,26.249359130859375,1.0000121593475342,True
250,137.879,0,0.6943857967853546,0.438203125,0.0,0.4308984375,0.0,0.0006409494089893997,0.4294634163379669,0.4295163154602051,0.6946966648101807,0.49923789501190186,-0.003048099810257554,0.6931219696998596,0.4294634163379669,0.6946301460266113,0.4992709457874298,-0.002916072029620409,0.693122386932373,0.4295163154602051,0.4294215440750122,0.4295271039009094,0.6947500705718994,0.4992118179798126,-0.003152530873194337,0.6931207776069641,0.4294215440750122,0.6946171522140503,0.4992777109146118,-0.0028887458611279726,0.6931217908859253,0.4295271039009094,0.4293695092201233,0.42952761054039,0.6948167681694031,0.4991793930530548,-0.003282178658992052,0.6931189894676208,0.4293695092201233,0.6946176886558533,0.49927809834480286,-0.00288719916716218,0.6931204795837402,0.42952761054039,0.4294634163379669,0.4295163154602051,3.0512066587107256e-05,26.249494552612305,1.000230073928833,True
500,275.013,0,0.6944000124931335,0.437734375,0.0,0.4320703125,0.0,0.0005965387099422514,0.429775595664978,0.42967626452445984,0.6942994594573975,0.4994325339794159,-0.002269633812829852,0.6931297183036804,0.429775595664978,0.6944332122802734,0.49937111139297485,-0.002515368862077594,0.6931189894676208,0.42967626452445984,0.4298253357410431,0.4296266734600067,0.694233775138855,0.49946334958076477,-0.0021465099416673183,0.6931339502334595,0.4298253357410431,0.6945008635520935,0.4993405044078827,-0.002637562109157443,0.6931124925613403,0.4296266734600067,0.42987486720085144,0.4295773208141327,0.6941688656806946,0.49949410557746887,-0.0020234643016010523,0.6931372880935669,0.42987486720085144,0.6945689916610718,0.49931013584136963,-0.0027590030804276466,0.693105161190033,0.4295773208141327,0.429775595664978,0.42967626452445984,1.871110544016119e-05,26.249542236328125,1.0002985000610352,True
750,404.255,2,0.6945066004991531,0.43890625,0.0,0.43138671875,0.0,0.0005662142648361623,0.42979729175567627,0.42978331446647644,0.69427490234375,0.4994462728500366,-0.0022148594725877047,0.6931269764900208,0.42979729175567627,0.6942967176437378,0.4994378387928009,-0.0022484641522169113,0.6931220293045044,0.42978331446647644,0.4297923445701599,0.4297647178173065,0.6942797899246216,0.49944305419921875,-0.0022275482770055532,0.6931283473968506,0.4297923445701599,0.6943231821060181,0.4994264245033264,-0.0022939874324947596,0.6931183338165283,0.4297647178173065,0.4297793209552765,0.42973870038986206,0.694295346736908,0.4994348883628845,-0.002260255627334118,0.693129301071167,0.4297793209552765,0.6943598985671997,0.499410480260849,-0.002357994904741645,0.6931136846542358,0.42973870038986206,0.42979729175567627,0.42978331446647644,1.3909006156609394e-05,26.250572204589844,1.0025675296783447,True
1000,532.683,2,0.6945333480834961,0.438203125,0.0,0.4328125,0.0,0.0005426733405329287,0.429638534784317,0.4297003746032715,0.6944748163223267,0.49934715032577515,-0.002611231990158558,0.6931252479553223,0.429638534784317,0.6943972110748291,0.4993857443332672,-0.002456637565046549,0.6931256055831909,0.4297003746032715,0.42961153388023376,0.42973560094833374,0.6945087313652039,0.4993302822113037,-0.0026785684749484062,0.6931250095367432,0.42961153388023376,0.6943530440330505,0.4994077682495117,-0.002368688816204667,0.6931257843971252,0.42973560094833374,0.42958706617355347,0.42977380752563477,0.6945395469665527,0.4993149936199188,-0.0027397959493100643,0.6931248307228088,0.42958706617355347,0.6943051218986511,0.49943163990974426,-0.0022732506040483713,0.6931259036064148,0.42977380752563477,0.429638534784317,0.4297003746032715,1.1214654477953445e-05,26.250526428222656,1.0025076866149902,True
1250,661.723,2,0.694487601518631,0.4375,0.0,0.42951171875000005,0.0,0.0005232490366324782,0.42982426285743713,0.4296882450580597,0.6942364573478699,0.4994627833366394,-0.0021487753838300705,0.6931324005126953,0.42982426285743713,0.6944212913513184,0.4993788003921509,-0.0024844056461006403,0.6931155323982239,0.4296882450580597,0.4298926591873169,0.42962145805358887,0.6941460967063904,0.4995051920413971,-0.001979159191250801,0.6931378841400146,0.4298926591873169,0.6945146918296814,0.4993377923965454,-0.0026484192349016666,0.693104088306427,0.42962145805358887,0.42996081709861755,0.4295560419559479,0.694057822227478,0.4995475709438324,-0.0018095907289534807,0.6931413412094116,0.42996081709861755,0.6946080923080444,0.49929770827293396,-0.002808523364365101,0.6930909156799316,0.4295560419559479,0.42982426285743713,0.4296882450580597,9.459996363148093e-06,26.250492095947266,1.0024478435516357,True
1500,790.715,2,0.6943904757499695,0.442265625,0.0,0.4285546874999999,0.0,0.0005066313897259533,0.4297170042991638,0.42949020862579346,0.6943713426589966,0.49939581751823425,-0.002416633302345872,0.6931315064430237,0.4297170042991638,0.6946690082550049,0.49925506114959717,-0.0029794604051858187,0.693115234375,0.42949020862579346,0.4298356771469116,0.42938241362571716,0.6942181587219238,0.4994696378707886,-0.002121363300830126,0.693136990070343,0.4298356771469116,0.694813072681427,0.4991883337497711,-0.003246201202273369,0.6931046843528748,0.42938241362571716,0.4299575984477997,0.42927852272987366,0.6940624713897705,0.4995456039905548,-0.0018175233853980899,0.6931406259536743,0.4299575984477997,0.6949535608291626,0.499124139547348,-0.003502741688862443,0.6930925846099854,0.42927852272987366,0.4297170042991638,0.42949020862579346,8.22742276795907e-06,26.25049591064453,1.0024170875549316,True
1750,920.464,2,0.6943819969892502,0.44125,0.0,0.43380859375,0.0,0.0004920673673041165,0.4295814633369446,0.4296729862689972,0.6945502758026123,0.49931174516677856,-0.002752674277871847,0.6931206583976746,0.4295814633369446,0.6944316029548645,0.49936866760253906,-0.0025251409970223904,0.6931254863739014,0.4296729862689972,0.4295322597026825,0.42971497774124146,0.6946144104003906,0.4992811977863312,-0.0028749732300639153,0.6931174993515015,0.4295322597026825,0.6943774223327637,0.4993947744369507,-0.0024206573143601418,0.693127453327179,0.42971497774124146,0.4294809401035309,0.42975425720214844,0.6946817636489868,0.49924933910369873,-0.0030023795552551746,0.6931141018867493,0.4294809401035309,0.6943268775939941,0.499419242143631,-0.0023227764759212732,0.6931289434432983,0.42975425720214844,0.4295814633369446,0.4296729862689972,7.263577572302893e-06,26.250486373901367,1.0023866891860962,True
2000,1053.393,0,0.6943070739507675,0.4459375,0.0,0.4330078125,0.0,0.0004790804523508996,0.42973971366882324,0.42968496680259705,0.6943476796150208,0.49941033124923706,-0.002358635887503624,0.6931260824203491,0.42973971366882324,0.6944190263748169,0.4993763267993927,-0.00249446090310812,0.6931226849555969,0.42968496680259705,0.429763525724411,0.4296540915966034,0.6943166851997375,0.49942511320114136,-0.0022993723396211863,0.693127453327179,0.429763525724411,0.6944594383239746,0.499357134103775,-0.0025710929185152054,0.6931205987930298,0.4296540915966034,0.4297851324081421,0.4296208620071411,0.6942887306213379,0.4994385540485382,-0.00224573677405715,0.6931286454200745,0.4297851324081421,0.6945030689239502,0.4993365406990051,-0.0026534944772720337,0.6931182742118835,0.4296208620071411,0.42973971366882324,0.42968496680259705,6.523296633531572e-06,26.24948501586914,1.000496506690979,True
2250,1186.438,0,0.6942969411611557,0.444375,0.0,0.4356640625,0.0,0.0004673505900427699,0.42977261543273926,0.4297184944152832,0.6943071484565735,0.49943092465400696,-0.002276025013998151,0.693125307559967,0.42977261543273926,0.6943782567977905,0.4993973672389984,-0.002410419285297394,0.6931214928627014,0.4297184944152832,0.4297972619533539,0.4296894073486328,0.6942750811576843,0.4994462728500366,-0.0022148743737488985,0.6931268572807312,0.4297972619533539,0.6944166421890259,0.49937933683395386,-0.0024823888670653105,0.6931190490722656,0.4296894073486328,0.42981991171836853,0.4296594262123108,0.6942455768585205,0.4994603395462036,-0.0021586313378065825,0.693128228187561,0.42981991171836853,0.6944564580917358,0.49936074018478394,-0.002556726336479187,0.6931164264678955,0.4296594262123108,0.42977261543273926,0.4297184944152832,5.928139671596e-06,26.24947738647461,1.000526785850525,True
2500,1319.484,0,0.6943972110748291,0.4346875,0.0,0.42955078125,0.0,0.0004566453571897,0.4297671616077423,0.42966428399086,0.6943126916885376,0.4994274377822876,-0.0022900772746652365,0.6931268572807312,0.4297671616077423,0.6944470405578613,0.4993635416030884,-0.002545395400375128,0.6931202411651611,0.42966428399086,0.4298197329044342,0.4296143651008606,0.6942444443702698,0.4994601309299469,-0.002159358933568001,0.6931297183036804,0.4298197329044342,0.6945128440856934,0.49933257699012756,-0.0026694016996771097,0.6931164264678955,0.4296143651008606,0.42987293004989624,0.4295654296875,0.6941757202148438,0.49949321150779724,-0.0020270124077796936,0.693132221698761,0.42987293004989624,0.6945775747299194,0.4993022680282593,-0.002790596103295684,0.693112313747406,0.4295654296875,0.4297671616077423,0.42966428399086,5.440426321001723e-06,26.249439239501953,1.0005565881729126,True
2750,1452.233,3,0.6942315250635147,0.43734375,0.0,0.4321484375,0.0,0.00044679740676656365,0.42962849140167236,0.4296640455722809,0.6944907903671265,0.49934113025665283,-0.002635347656905651,0.6931214332580566,0.42962849140167236,0.6944421529769897,0.4993630349636078,-0.002547725336626172,0.6931262016296387,0.4296640455722809,0.42960673570632935,0.4296773672103882,0.6945206522941589,0.499327689409256,-0.0026888446882367134,0.6931183338165283,0.42960673570632935,0.6944238543510437,0.4993712306022644,-0.002514866180717945,0.6931280493736267,0.4296773672103882,0.42958277463912964,0.42968741059303284,0.6945536732673645,0.4993129372596741,-0.0027479648124426603,0.6931149363517761,0.42958277463912964,0.694409966468811,0.49937742948532104,-0.0024901460856199265,0.6931295990943909,0.42968741059303284,0.42962849140167236,0.4296640455722809,5.021757260692539e-06,26.251220703125,1.0020239353179932,True
3000,1585.171,2,0.6943616569042206,0.4434375,0.0,0.4290625,0.0,0.0004376742581371218,0.4296681880950928,0.4296702444553375,0.6944356560707092,0.49936553835868835,-0.00253769988194108,0.6931277513504028,0.4296681880950928,0.6944378018379211,0.4993671476840973,-0.0025312460493296385,0.6931222677230835,0.4296702444553375,0.4296680688858032,0.42967209219932556,0.6944336891174316,0.49936529994010925,-0.00253849383443594,0.6931300163269043,0.4296680688858032,0.6944381594657898,0.49936848878860474,-0.0025258201640099287,0.6931192278862,0.42967209219932556,0.429668664932251,0.4296744167804718,0.6944312453269958,0.49936556816101074,-0.00253759091719985,0.6931321620941162,0.429668664932251,0.6944381594657898,0.49937015771865845,-0.002519167959690094,0.6931160092353821,0.4296744167804718,0.4296681880950928,0.4296702444553375,4.668144811148522e-06,26.25057601928711,1.0022438764572144,True
3250,1717.898,2,0.6945507675409317,0.433046875,0.0,0.429453125,0.0,0.0004291741061024368,0.4296853244304657,0.42982637882232666,0.6944248676300049,0.49937698245048523,-0.0024918231647461653,0.6931154727935791,0.4296853244304657,0.6942350268363953,0.4994641840457916,-0.002143066842108965,0.6931309700012207,0.42982637882232666,0.4296129643917084,0.42989474534988403,0.6945245265960693,0.4993324279785156,-0.002669984009116888,0.6931051015853882,0.4296129643917084,0.6941450238227844,0.4995065927505493,-0.0019735845271497965,0.6931362152099609,0.42989474534988403,0.42953968048095703,0.42996126413345337,0.6946269273757935,0.49928736686706543,-0.0028499802574515343,0.6930928230285645,0.42953968048095703,0.6940584778785706,0.49954792857170105,-0.0018081498565152287,0.6931399703025818,0.42996126413345337,0.4296853244304657,0.42982637882232666,4.372762305138167e-06,26.250587463378906,1.002212643623352,True
3500,1850.273,3,0.6943115144968033,0.438046875,0.0,0.43275390625,0.0,0.0004212184576317668,0.429592490196228,0.42967185378074646,0.6945351958274841,0.49931854009628296,-0.0027255648747086525,0.6931220889091492,0.429592490196228,0.6944321393966675,0.499367892742157,-0.0025281552225351334,0.6931264400482178,0.42967185378074646,0.42955660820007324,0.42971497774124146,0.694581925868988,0.49929627776145935,-0.002814754145219922,0.6931201219558716,0.42955660820007324,0.6943763494491577,0.4993947148323059,-0.0024209446273744106,0.6931286454200745,0.42971497774124146,0.42952343821525574,0.42976006865501404,0.6946250200271606,0.49927565455436707,-0.0028970050625503063,0.6931180357933044,0.42952343821525574,0.6943180561065674,0.49942275881767273,-0.002308805240318179,0.6931307315826416,0.42976006865501404,0.429592490196228,0.42967185378074646,4.096859811397735e-06,26.251270294189453,1.001936435699463,True
3750,1982.977,2,0.6944349557161331,0.438359375,0.0,0.42792968749999993,0.0,0.0004137422947678715,0.4294770061969757,0.4295181632041931,0.694680392742157,0.4992464482784271,-0.0030139624141156673,0.6931211352348328,0.4294770061969757,0.6946234107017517,0.49927178025245667,-0.0029127253219485283,0.693127453327179,0.4295181632041931,0.4294561445713043,0.4295382499694824,0.6947095990180969,0.4992336332798004,-0.0030651111155748367,0.6931174993515015,0.4294561445713043,0.6945959329605103,0.49928414821624756,-0.002863141242414713,0.6931301951408386,0.4295382499694824,0.42943525314331055,0.4295578896999359,0.6947392225265503,0.4992208182811737,-0.0031163098756223917,0.6931136250495911,0.42943525314331055,0.6945692300796509,0.49929627776145935,-0.0028146160766482353,0.6931325793266296,0.4295578896999359,0.4294770061969757,0.4295181632041931,3.8591902011830825e-06,26.25063705444336,1.0021589994430542,True
4000,2116.396,0,0.6943608820438385,0.44015625,0.0,0.43312500000000004,0.0,0.0004066879628226161,0.4295467138290405,0.4294022023677826,0.6945879459381104,0.4992896318435669,-0.002841242589056492,0.6931271553039551,0.4295467138290405,0.6947778463363647,0.4991999864578247,-0.003199732629582286,0.6931166052818298,0.4294022023677826,0.4296153783798218,0.4293261766433716,0.6944985389709473,0.4993323087692261,-0.002670570043846965,0.6931312680244446,0.4296153783798218,0.6948786377906799,0.49915286898612976,-0.003388131968677044,0.6931100487709045,0.4293261766433716,0.4296818971633911,0.42924749851226807,0.6944124102592468,0.4993736743927002,-0.0025051801931113005,0.693134605884552,0.4296818971633911,0.6949836611747742,0.4991041421890259,-0.0035829818807542324,0.6931025981903076,0.42924749851226807,0.4295467138290405,0.4294022023677826,3.657481784102856e-06,26.249467849731445,1.0005682706832886,True
4250,2250.412,2,0.6945316195487976,0.4334375,0.0,0.42998046875,0.0,0.0004000108456239104,0.4298613369464874,0.4298364520072937,0.6941940188407898,0.4994862377643585,-0.0020548785105347633,0.6931278705596924,0.4298613369464874,0.6942294239997864,0.499470978975296,-0.002115848707035184,0.6931230425834656,0.4298364520072937,0.42987242341041565,0.42982256412506104,0.6941783428192139,0.4994930326938629,-0.0020276077557355165,0.6931299567222595,0.42987242341041565,0.6942492723464966,0.4994624853134155,-0.0021498361602425575,0.6931201219558716,0.42982256412506104,0.42988282442092896,0.4298076629638672,0.6941637992858887,0.4994994103908539,-0.00200226460583508,0.6931318044662476,0.42988282442092896,0.6942707896232605,0.4994533658027649,-0.002186315366998315,0.6931169033050537,0.4298076629638672,0.4298613369464874,0.4298364520072937,3.460666903265519e-06,26.250675201416016,1.002100944519043,True
