step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,1.13,3,1.3866532742977142,0.253662109375,0.0,0.2509765625,0.0,0.0007733302190899849,-1.3878016471862793,-1.3893544673919678,0.002093852497637272,26.309261322021484,1.002950668334961,True
250,75.089,3,1.3859204649925232,0.2568359375,0.0,0.24774169921875,0.0,0.0005214873817749321,-1.3860328197479248,-1.3877480030059814,5.5062399042071775e-05,26.308778762817383,1.0022187232971191,True
500,149.357,0,1.387204259634018,0.251708984375,0.0,0.24578857421875,0.0,0.0004517251218203455,-1.38627290725708,-1.3887066841125488,3.7497287848964334e-05,26.3081111907959,1.0006604194641113,True
750,223.461,2,1.385731816291809,0.253173828125,0.0,0.248291015625,0.0,0.00040695752250030637,-1.388617992401123,-1.3858144283294678,3.0722632800461724e-05,26.309053421020508,1.0019419193267822,True
1000,297.705,3,1.388517290353775,0.251953125,0.0,0.2481689453125,0.0,0.00037380869616754353,-1.385878086090088,-1.386451244354248,1.584940036991611e-05,26.308584213256836,1.0018296241760254,True
1250,371.977,0,1.387310266494751,0.254150390625,0.0,0.25286865234375,0.0,0.0003475201956462115,-1.3861124515533447,-1.3872220516204834,1.437410719518084e-05,26.308147430419922,1.0008597373962402,True
1500,446.167,0,1.3875413537025452,0.250732421875,0.0,0.24786376953125,0.0,0.00032577768433839083,-1.387143611907959,-1.3891621828079224,1.5863921362324618e-05,26.308162689208984,1.0008987188339233,True
1750,520.345,0,1.3861786425113678,0.255615234375,0.0,0.25262451171875,0.0,0.00030729506397619843,-1.384426474571228,-1.3856815099716187,1.130417876993306e-05,26.30816650390625,1.0009355545043945,True
2000,594.43,2,1.387639731168747,0.252685546875,0.0,0.24871826171875,0.0,0.0002912716881837696,-1.387998342514038,-1.387624979019165,8.083033208095003e-06,26.308807373046875,1.0017188787460327,True
2250,668.518,3,1.3867641687393188,0.257080078125,0.0,0.2530517578125,0.0,0.00027716177282854915,-1.386998176574707,-1.387050747871399,6.966433375055203e-06,26.308490753173828,1.0016897916793823,True
2500,742.598,0,1.386126071214676,0.2626953125,0.0,0.256103515625,0.0,0.00026458059437572956,-1.3867552280426025,-1.390303134918213,1.7391628716723062e-05,26.30818748474121,1.0010207891464233,True
2750,816.554,1,1.3867562413215637,0.2587890625,0.0,0.2510986328125,0.0,0.0002532612415961921,-1.3864997625350952,-1.3868107795715332,5.798179699922912e-06,26.308073043823242,1.0017112493515015,True
3000,890.344,1,1.3873452246189117,0.25341796875,0.0,0.2501220703125,0.0,0.0002429933228995651,-1.3897393941879272,-1.3858544826507568,1.704815986158792e-05,26.30808448791504,1.0017000436782837,True
3250,964.035,3,1.386235237121582,0.253173828125,0.0,0.24859619140625,0.0,0.00023361534113064408,-1.3855019807815552,-1.3856842517852783,4.752485892822733e-06,26.308454513549805,1.0016629695892334,True
3500,1037.831,2,1.3873193860054016,0.25439453125,0.0,0.24932861328125,0.0,0.00022499929764308035,-1.3871612548828125,-1.3871129751205444,4.33546438216581e-06,26.308687210083008,1.0016746520996094,True
3750,1111.578,3,1.3848288357257843,0.25830078125,0.0,0.2498779296875,0.0,0.0002170445368392393,-1.3877195119857788,-1.3870974779129028,4.634955985238776e-06,26.308448791503906,1.0016533136367798,True
4000,1185.364,2,1.3863261342048645,0.257080078125,0.0,0.2493896484375,0.0,0.00020967026648577303,-1.3844656944274902,-1.3876609802246094,1.2150506336183753e-05,26.30866241455078,1.001666784286499,True
4250,1259.066,3,1.3877468407154083,0.248779296875,0.0,0.24755859375,0.0,0.00020280761236790568,-1.3906786441802979,-1.3863258361816406,1.5701394659117796e-05,26.30844497680664,1.0016471147537231,True
4500,1332.813,0,1.3858977854251862,0.259033203125,0.0,0.2542724609375,0.0,0.00019639582023955882,-1.3845216035842896,-1.3897511959075928,1.8134172933059745e-05,26.30821418762207,1.0011569261550903,True
4750,1406.649,1,1.387147843837738,0.25390625,0.0,0.24652099609375,0.0,0.00019039040489587933,-1.3873319625854492,-1.3871257305145264,3.1323222628998337e-06,26.308143615722656,1.0016721487045288,True
5000,1480.429,3,1.3877337872982025,0.250732421875,0.0,0.2484130859375,0.0,0.000184745091246441,-1.385962963104248,-1.3913003206253052,1.7528162061353214e-05,26.308456420898438,1.001641869544983,True
5250,1554.711,1,1.3877897262573242,0.249755859375,0.0,0.246826171875,0.0,0.000179428156116046,-1.3867526054382324,-1.3899481296539307,1.0473403563082684e-05,26.308162689208984,1.0016642808914185,True
5500,1629.112,2,1.385752946138382,0.259765625,0.0,0.2503662109375,0.0,0.00017441235831938684,-1.3896301984786987,-1.3873045444488525,7.619677035108907e-06,26.308637619018555,1.0016502141952515,True
5750,1703.518,3,1.3864858150482178,0.2568359375,0.0,0.2489013671875,0.0,0.00016966935072559863,-1.3865300416946411,-1.390683650970459,1.2785218132194132e-05,26.308469772338867,1.0016347169876099,True
6000,1777.802,3,1.3871058225631714,0.25244140625,0.0,0.2476806640625,0.0,0.0001651706115808338,-1.3866040706634521,-1.3864238262176514,2.3588822841702495e-06,26.308469772338867,1.0016337633132935,True
6250,1851.945,3,1.3863546252250671,0.255615234375,0.0,0.25067138671875,0.0,0.00016090062854345888,-1.386070966720581,-1.3893954753875732,9.865023457678035e-06,26.308475494384766,1.0016334056854248,True
6500,1926.267,0,1.3879220187664032,0.249267578125,0.0,0.24700927734375,0.0,0.00015683984383940697,-1.389007568359375,-1.387662649154663,4.356757926871069e-06,26.308218002319336,1.0012140274047852,True
6750,2000.436,1,1.3858162760734558,0.255859375,0.0,0.25042724609375,0.0,0.00015296974743250757,-1.3879368305206299,-1.3841661214828491,1.0688121619750746e-05,26.3082275390625,1.0016565322875977,True
7000,2074.467,2,1.3878990411758423,0.248779296875,0.0,0.24578857421875,0.0,0.00014927786833141,-1.3870394229888916,-1.3894357681274414,6.81489973430871e-06,26.308650970458984,1.0016425848007202,True
