phase,step,elapsed_sec,train_loss,best_step,event,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_hard_cell_acc,obj_hard_board_acc,obj_entropy,objective
adam,1,1.412,0.6842952966690063,1,best,0.655739963054657,0.6344468858506944,0.0,0.655739963054657,0.5412479713559151,0.15080758184194565,0.5754037722945213,3.094066590229745e-32,0.6344468891620636,0.0,0.6468126997351646,-0.655739963054657
adam,250,45.888,0.27258992195129395,250,best,0.23795637674629688,0.9133978949652778,0.1484375,0.23795637674629688,0.8501155972480774,0.797161303460598,0.8985806703567505,0.0711993919685483,0.9133978933095932,0.1484375,0.26670815609395504,-0.23795637674629688
adam,500,89.593,0.24708274006843567,250,,0.25324832275509834,0.9043172200520834,0.1484375,0.25324832275509834,0.841406375169754,0.7781779542565346,0.8890889957547188,0.05877411598339677,0.9043172225356102,0.1484375,0.27299464866518974,-0.25324832275509834
adam,750,133.718,0.2086717188358307,250,,0.24764180555939674,0.9022894965277778,0.14453125,0.24764180555939674,0.8621625378727913,0.7907033264636993,0.8953516855835915,0.0932610984891653,0.9022894874215126,0.14453125,0.2155386470258236,-0.24764180555939674
adam,1000,178.934,0.22768551111221313,250,,0.23803569376468658,0.9105360243055556,0.1435546875,0.23803569376468658,0.8441821485757828,0.7834388539195061,0.8917194083333015,0.05910261324606836,0.9105360358953476,0.1435546875,0.2764454297721386,-0.23803569376468658
adam,1250,223.979,0.2415170669555664,1250,best,0.23991839960217476,0.9108615451388888,0.1640625,0.23991839960217476,0.8717797473073006,0.8073198273777962,0.9036599099636078,0.10169384349137545,0.9108615517616272,0.1640625,0.20005324482917786,-0.23991839960217476
adam,1500,268.864,0.21744821965694427,1250,,0.23387720249593258,0.9130927191840278,0.15234375,0.23387720249593258,0.8705919310450554,0.8098264187574387,0.9049132019281387,0.0864613656885922,0.9130927175283432,0.15234375,0.20885869301855564,-0.23387720249593258
adam,1750,313.893,0.6468303203582764,1250,,0.6404905170202255,0.6298285590277778,0.0,0.6404905170202255,0.541412465274334,0.15212030708789825,0.5760601609945297,3.005030928990459e-31,0.6298285573720932,0.0,0.6611483544111252,-0.6404905170202255
adam,2000,358.182,0.2770426869392395,1250,,0.2512558214366436,0.9064263237847222,0.154296875,0.2512558214366436,0.8550968766212463,0.7942324504256248,0.8971162363886833,0.0756759480573237,0.9064263179898262,0.154296875,0.24076552502810955,-0.2512558214366436
adam,2250,402.572,0.2569132447242737,1250,,0.2380769606679678,0.9145372178819444,0.1474609375,0.2380769606679678,0.8554812520742416,0.8045105561614037,0.9022552818059921,0.06429779529571533,0.914537213742733,0.1474609375,0.2541765682399273,-0.2380769606679678
adam,2500,447.366,0.22059676051139832,1250,,0.2210006695240736,0.9204644097222222,0.1484375,0.2210006695240736,0.8671260848641396,0.821411669254303,0.9107058271765709,0.06506388168781996,0.9204644113779068,0.1484375,0.23652873747050762,-0.2210006695240736
adam,2750,492.37,0.24297040700912476,1250,,0.23453118465840816,0.9109564887152778,0.1416015625,0.23453118465840816,0.8616536557674408,0.7999681085348129,0.8999840468168259,0.06402630126103759,0.9109564945101738,0.1416015625,0.2315385527908802,-0.23453118465840816
adam,3000,536.499,0.2342604249715805,1250,,0.22892626747488976,0.9153849283854166,0.134765625,0.22892626747488976,0.8588958755135536,0.8038678392767906,0.9019339010119438,0.06449980940669775,0.9153849259018898,0.134765625,0.24536800011992455,-0.22892626747488976
adam,3250,580.903,0.2301432341337204,1250,,0.2273152731359005,0.91400146484375,0.146484375,0.2273152731359005,0.8497846126556396,0.7917390763759613,0.8958695456385612,0.059108465909957886,0.91400146484375,0.146484375,0.26890284195542336,-0.2273152731359005
adam,3500,625.348,0.24181658029556274,1250,,0.24740800075232983,0.9030897352430556,0.1533203125,0.24740800075232983,0.8515660986304283,0.7765882760286331,0.888294130563736,0.07398298475891352,0.903089739382267,0.1533203125,0.2406130861490965,-0.24740800075232983
adam,3750,669.769,0.22769387066364288,1250,,0.24026933871209621,0.9059380425347222,0.150390625,0.24026933871209621,0.8617021813988686,0.792529508471489,0.8962647318840027,0.07683260785415769,0.9059380441904068,0.150390625,0.22101042978465557,-0.24026933871209621
adam,4000,714.192,0.21232952177524567,1250,,0.22268319875001907,0.9151136610243056,0.1552734375,0.22268319875001907,0.8652784451842308,0.8050558343529701,0.9025279060006142,0.07741095311939716,0.9151136726140976,0.1552734375,0.22807404398918152,-0.22268319875001907
adam,4250,759.887,0.23380735516548157,1250,,0.21098912693560123,0.9209120008680556,0.142578125,0.21098912693560123,0.8725910633802414,0.8175105229020119,0.9087552577257156,0.07403358584269881,0.9209119975566864,0.142578125,0.21773394383490086,-0.21098912693560123
adam,4500,804.806,0.2077043652534485,1250,,0.24158484488725662,0.9085286458333334,0.16015625,0.24158484488725662,0.8644887506961823,0.7977158278226852,0.8988579362630844,0.08517432399094105,0.9085286557674408,0.16015625,0.2143230028450489,-0.24158484488725662
adam,4750,849.535,0.23592741787433624,1250,,0.2218848243355751,0.9141913519965278,0.1513671875,0.2218848243355751,0.8622061014175415,0.8021904900670052,0.9010952264070511,0.06411146465688944,0.9141913503408432,0.1513671875,0.23595266230404377,-0.2218848243355751
adam,5000,894.93,0.2310466170310974,1250,,0.24827545695006847,0.9015163845486112,0.1357421875,0.24827545695006847,0.8624033480882645,0.7844799011945724,0.8922399580478668,0.07233166648074985,0.9015163779258728,0.1357421875,0.2078233491629362,-0.24827545695006847
adam,5250,939.962,0.19771571457386017,1250,,0.21370372734963894,0.9185791015625,0.16015625,0.21370372734963894,0.8668628633022308,0.809408962726593,0.9047044888138771,0.07479299698024988,0.9185790866613388,0.16015625,0.23075703158974648,-0.21370372734963894
adam,5500,984.773,0.2221197932958603,5500,best,0.21875740587711334,0.9161580403645834,0.1875,0.21875740587711334,0.8694466799497604,0.8090708777308464,0.9045354276895523,0.10089281294494867,0.9161580353975296,0.1875,0.2192822713404894,-0.21875740587711334
adam,5750,1028.897,0.22962342202663422,5500,,0.21955734118819237,0.9161851671006944,0.1572265625,0.21955734118819237,0.8755495622754097,0.8167822733521461,0.9083911180496216,0.09376052673906088,0.9161851704120636,0.1572265625,0.20330211147665977,-0.21955734118819237
adam,6000,1073.405,0.2225579172372818,5500,,0.23189828731119633,0.9086235894097222,0.1328125,0.23189828731119633,0.853724755346775,0.7852707430720329,0.8926353603601456,0.05908987810835242,0.9086235910654068,0.1328125,0.24634210020303726,-0.23189828731119633
adam,6250,1117.949,0.23311342298984528,5500,,0.22619020007550716,0.9127129448784722,0.115234375,0.22619020007550716,0.8615287244319916,0.7995292842388153,0.8997646197676659,0.055645611602813005,0.9127129316329956,0.115234375,0.23503025248646736,-0.22619020007550716
adam,6500,1162.137,0.21164800226688385,5500,,0.21228708513081074,0.92193603515625,0.166015625,0.21228708513081074,0.8689087703824043,0.8140170648694038,0.9070085138082504,0.07240559812635183,0.9219360426068306,0.166015625,0.2268480695784092,-0.21228708513081074
adam,6750,1206.004,0.21878576278686523,5500,,0.22639199160039425,0.91229248046875,0.1494140625,0.22639199160039425,0.874382309615612,0.8084263354539871,0.9042131826281548,0.08899070881307125,0.9122924730181694,0.1494140625,0.19757079146802425,-0.22639199160039425
adam,7000,1250.121,0.22158029675483704,5500,,0.22167453542351723,0.9205322265625,0.1630859375,0.22167453542351723,0.8743209093809128,0.8180368393659592,0.9090184196829796,0.08234318485483527,0.9205322340130806,0.1630859375,0.2074868381023407,-0.22167453542351723
adam,7250,1294.033,0.21505014598369598,5500,,0.22164854593575,0.9159478081597222,0.134765625,0.22164854593575,0.8615253418684006,0.802606999874115,0.9013034999370575,0.06739251408725977,0.9159478023648262,0.134765625,0.23967666365206242,-0.22164854593575
adam,7500,1337.837,0.2223788946866989,5500,,0.21486724726855755,0.9157375759548612,0.15625,0.21486724726855755,0.86690504103899,0.806410901248455,0.9032054767012596,0.07630412513390183,0.9157375767827034,0.15625,0.22661349922418594,-0.21486724726855755
adam,7750,1381.934,0.22315287590026855,5500,,0.22313076257705688,0.9126112196180556,0.1376953125,0.22313076257705688,0.8666509911417961,0.803789459168911,0.9018947184085846,0.06526424828916788,0.9126112088561058,0.1376953125,0.22278538905084133,-0.22313076257705688
