step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_entropy,minus3_objective,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,3.089,3,0.6975885480642319,0.3721788194444444,0.0,0.3660346137152778,0.0,0.0007810635725036263,0.42711707949638367,0.4275825023651123,0.6977334022521973,0.49777868390083313,-0.008882557041943073,0.6930040717124939,0.42711707949638367,0.6971240639686584,0.4980676472187042,-0.007727467454969883,0.6930352449417114,0.4275825023651123,0.42689764499664307,0.42782512307167053,0.6980220675468445,0.49764251708984375,-0.009426754899322987,0.692987859249115,0.42689764499664307,0.6968080997467041,0.4982184171676636,-0.007124723866581917,0.6930495500564575,0.42782512307167053,0.426689088344574,0.4280722439289093,0.6982969641685486,0.49751314520835876,-0.009943610988557339,0.6929718255996704,0.426689088344574,0.6964877247810364,0.49837207794189453,-0.006510694045573473,0.6930627822875977,0.4280722439289093,0.42711707949638367,0.4275825023651123,0.0011035579955205321,26.42781639099121,1.0027170181274414,True
250,309.665,3,0.6977262198925018,0.3666585286458333,0.0,0.3644002278645833,0.0,0.0006414795061573386,0.4273962080478668,0.42738139629364014,0.6973721981048584,0.49795231223106384,-0.0081886425614357,0.6930179595947266,0.4273962080478668,0.6973832845687866,0.4979425072669983,-0.008227871730923653,0.6930264830589294,0.42738139629364014,0.4273998439311981,0.42737236618995667,0.6973717212677002,0.4979548454284668,-0.00817845668643713,0.6930133700370789,0.4273998439311981,0.6973910927772522,0.4979366064071655,-0.008251503109931946,0.6930304765701294,0.42737236618995667,0.42739924788475037,0.42736339569091797,0.6973766684532166,0.497954785823822,-0.00817860011011362,0.6930084228515625,0.42739924788475037,0.6973989009857178,0.49793073534965515,-0.008274729363620281,0.693034291267395,0.42736339569091797,0.4273962080478668,0.42738139629364014,3.228397326893173e-05,26.42731475830078,1.0024006366729736,True
500,612.86,1,0.6972742825746536,0.3786078559027778,0.0,0.37423027886284727,0.0,0.0005970302736386657,0.4276493489742279,0.42764511704444885,0.6970546245574951,0.49811044335365295,-0.00755632109940052,0.6930192112922668,0.4276493489742279,0.6970543265342712,0.498107373714447,-0.007568392436951399,0.6930255889892578,0.42764511704444885,0.42765218019485474,0.427643358707428,0.6970537900924683,0.49811241030693054,-0.007548401597887278,0.6930161118507385,0.42765218019485474,0.6970539093017578,0.49810612201690674,-0.007573735434561968,0.6930286884307861,0.427643358707428,0.4276558756828308,0.4276413321495056,0.6970519423484802,0.4981149137020111,-0.007538411300629377,0.6930129528045654,0.4276558756828308,0.6970536112785339,0.49810463190078735,-0.007579385302960873,0.6930317878723145,0.4276413321495056,0.4276493489742279,0.42764511704444885,1.9793871615547687e-05,26.42563247680664,1.0025922060012817,True
750,915.754,2,0.6970482468605042,0.3730875651041667,0.0,0.3676622178819445,0.0,0.0005666803917847574,0.4268580377101898,0.4271947741508484,0.6980525255203247,0.4976164400577545,-0.009531361982226372,0.6930093765258789,0.4268580377101898,0.6976090669631958,0.49782535433769226,-0.00869654305279255,0.6930348873138428,0.4271947741508484,0.4267045259475708,0.42737770080566406,0.6982556581497192,0.4975212812423706,-0.009911831468343735,0.6929967403411865,0.4267045259475708,0.6973692774772644,0.4979389011859894,-0.008242670446634293,0.6930476427078247,0.42737770080566406,0.4265609383583069,0.427570104598999,0.6984460949897766,0.49743229150772095,-0.010267537087202072,0.6929843425750732,0.4265609383583069,0.6971178650856018,0.49805837869644165,-0.007765049580484629,0.693060040473938,0.427570104598999,0.4268580377101898,0.4271947741508484,1.4787026884732768e-05,26.426374435424805,1.0027011632919312,True
1000,1211.76,3,0.697514995932579,0.3720974392361111,0.0,0.3641323513454861,0.0,0.0005431155441328883,0.4278508722782135,0.4278739094734192,0.6968062520027161,0.49823665618896484,-0.007051434833556414,0.6930150985717773,0.4278508722782135,0.6967647075653076,0.4982501268386841,-0.006997554562985897,0.6930296421051025,0.4278739094734192,0.4278433322906494,0.42788931727409363,0.6968222856521606,0.4982324242591858,-0.007068549748510122,0.6930076479911804,0.4278433322906494,0.6967393159866333,0.4982593357563019,-0.006960904225707054,0.6930367350578308,0.42788931727409363,0.42783835530281067,0.4279073178768158,0.6968351602554321,0.4982297718524933,-0.007078954018652439,0.6930000185966492,0.42783835530281067,0.6967107057571411,0.4982701539993286,-0.006917774677276611,0.6930437088012695,0.4279073178768158,0.4278508722782135,0.4278739094734192,1.1862802239193115e-05,26.426984786987305,1.002170205116272,True
1250,1508.449,1,0.6972380727529526,0.3792182074652778,0.0,0.368743896484375,0.0,0.0005236711585894227,0.4275652766227722,0.4272245466709137,0.6971485614776611,0.498057097196579,-0.007769627496600151,0.6930318474769592,0.4275652766227722,0.6975910663604736,0.49784529209136963,-0.008616446517407894,0.6930132508277893,0.4272245466709137,0.4277343153953552,0.42705225944519043,0.696929395198822,0.4981622099876404,-0.007349485531449318,0.6930407285690308,0.4277343153953552,0.6978150606155396,0.49773821234703064,-0.009044377133250237,0.6930034160614014,0.42705225944519043,0.42790287733078003,0.4268783926963806,0.6967110633850098,0.4982670545578003,-0.0069304886274039745,0.693049430847168,0.42790287733078003,0.6980412602424622,0.49763011932373047,-0.00947594828903675,0.6929933428764343,0.4268783926963806,0.4275652766227722,0.4272245466709137,1.0058279258373659e-05,26.425573348999023,1.002388834953308,True
1500,1804.593,1,0.6972922533750534,0.3770751953125,0.0,0.3686692979600695,0.0,0.0005070376791991293,0.4276423454284668,0.4271601438522339,0.6970492601394653,0.4981050491333008,-0.007577885407954454,0.6930353045463562,0.4276423454284668,0.697674572467804,0.49780523777008057,-0.008776315487921238,0.6930097937583923,0.4271601438522339,0.42788833379745483,0.4269251525402069,0.6967308521270752,0.4982580542564392,-0.006966272834688425,0.6930475234985352,0.42788833379745483,0.6979798078536987,0.4976591467857361,-0.009360073134303093,0.6929967403411865,0.4269251525402069,0.42813682556152344,0.4266951084136963,0.6964098215103149,0.4984126687049866,-0.0063484665006399155,0.6930594444274902,0.42813682556152344,0.6982789635658264,0.4975161552429199,-0.009931540116667747,0.6929837465286255,0.4266951084136963,0.4276423454284668,0.4271601438522339,8.797445843811147e-06,26.425575256347656,1.002338171005249,True
1750,2100.803,0,0.697456568479538,0.37109375,0.0,0.3679233127170139,0.0,0.0004924588138237596,0.42755797505378723,0.4273086488246918,0.6971568465232849,0.4980524778366089,-0.007788143120706081,0.6930329203605652,0.42755797505378723,0.6974855065345764,0.49789783358573914,-0.00840628333389759,0.693013608455658,0.4273086488246918,0.42769455909729004,0.42719703912734985,0.6969771385192871,0.4981372058391571,-0.007449490949511528,0.693043053150177,0.42769455909729004,0.6976328492164612,0.4978286027908325,-0.008682997897267342,0.693004846572876,0.42719703912734985,0.4278383255004883,0.42709481716156006,0.6967882513999939,0.49822643399238586,-0.007092982530593872,0.6930535435676575,0.4278383255004883,0.6977676749229431,0.4977652132511139,-0.008936319500207901,0.6929967999458313,0.42709481716156006,0.42755797505378723,0.4273086488246918,7.712455044384114e-06,26.425336837768555,1.0004768371582031,True
2000,2397.641,0,0.6967965513467789,0.3914523654513889,0.0,0.3756306966145833,0.0,0.0004794617707375437,0.42695677280426025,0.4271482825279236,0.6979210376739502,0.49767759442329407,-0.009287183173000813,0.6930186748504639,0.42695677280426025,0.6976757645606995,0.497796893119812,-0.008810047060251236,0.6930251121520996,0.4271482825279236,0.42684632539749146,0.4272284507751465,0.69806307554245,0.49760881066322327,-0.009561923332512379,0.6930141448974609,0.42684632539749146,0.6975737810134888,0.4978468716144562,-0.00861040037125349,0.6930271983146667,0.4272284507751465,0.42672693729400635,0.427297443151474,0.69821697473526,0.49753454327583313,-0.009858811274170876,0.6930088400840759,0.42672693729400635,0.6974864602088928,0.4978899359703064,-0.008438401855528355,0.6930283904075623,0.427297443151474,0.42695677280426025,0.4271482825279236,6.9158973019511905e-06,26.425291061401367,1.0005043745040894,True
2250,2694.172,3,0.6971003860235214,0.3846164279513889,0.0,0.37643771701388884,0.0,0.0004677197721321136,0.42637860774993896,0.42697495222091675,0.6986610293388367,0.49731743335723877,-0.010727141983807087,0.6929991245269775,0.42637860774993896,0.697875440120697,0.49768733978271484,-0.00924853328615427,0.6930445432662964,0.42697495222091675,0.42608776688575745,0.42728230357170105,0.6990468502044678,0.497137188911438,-0.011447335593402386,0.6929738521575928,0.42608776688575745,0.6974736452102661,0.49787822365760803,-0.008485587313771248,0.6930645704269409,0.42728230357170105,0.4258005619049072,0.4275968074798584,0.6994296312332153,0.4969593286514282,-0.012158017605543137,0.6929468512535095,0.4258005619049072,0.6970645189285278,0.4980736970901489,-0.0077040959149599075,0.6930826902389526,0.4275968074798584,0.42637860774993896,0.42697495222091675,6.435698196582962e-06,26.426753997802734,1.0020118951797485,True
2500,2990.638,1,0.6976848542690277,0.3653021918402778,0.0,0.3618672688802083,0.0,0.0004570041783154011,0.4271044433116913,0.4273200035095215,0.6977373361587524,0.49776995182037354,-0.00891784019768238,0.6930176615715027,0.4271044433116913,0.6974583268165588,0.4979040324687958,-0.008381860330700874,0.693028450012207,0.4273200035095215,0.42698848247528076,0.4274193048477173,0.697887659072876,0.4976978302001953,-0.009205784648656845,0.6930115222930908,0.42698848247528076,0.697330117225647,0.49796581268310547,-0.008134888485074043,0.69303297996521,0.4274193048477173,0.42686760425567627,0.42751261591911316,0.6980447173118591,0.49762269854545593,-0.009506254456937313,0.693004846572876,0.42686760425567627,0.6972097754478455,0.4980238676071167,-0.007902569137513638,0.6930370926856995,0.42751261591911316,0.4271044433116913,0.4273200035095215,5.771206815552432e-06,26.42559242248535,1.0022213459014893,True
2750,3286.346,2,0.6968796998262405,0.3809950086805556,0.0,0.3680759006076389,0.0,0.0004471456923056394,0.42775440216064453,0.42737528681755066,0.6969086527824402,0.49817508459091187,-0.007298043929040432,0.6930358409881592,0.42775440216064453,0.6974052786827087,0.49793970584869385,-0.008238816633820534,0.6930100917816162,0.42737528681755066,0.42794907093048096,0.4271920919418335,0.696654736995697,0.49829599261283875,-0.0068146041594445705,0.6930477619171143,0.42794907093048096,0.69764643907547,0.4978260397911072,-0.008693091571331024,0.6929963231086731,0.4271920919418335,0.42814624309539795,0.4270138144493103,0.6963984370231628,0.49841853976249695,-0.006324675865471363,0.6930590271949768,0.42814624309539795,0.6978819966316223,0.49771547317504883,-0.009134785272181034,0.6929819583892822,0.4270138144493103,0.42775440216064453,0.42737528681755066,5.3761968956678174e-06,26.42616844177246,1.0023468732833862,True
