step,elapsed_sec,agent,j_plus,j_minus,spsa_scalar,loss,cell_acc_all,cell_acc_missing,board_acc
1,10.671,0,-2.2190420627593994,-2.2314631938934326,0.011179018020629882,2.222917079925537,0.4190538194444444,0.11213885613207547,0.0
500,4704.801,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
1000,9417.57,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
1500,14531.15,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
2000,19241.775,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
2500,23953.004,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
3000,28661.386,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
3500,33371.541,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
4000,38080.183,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
4500,42784.756,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
5000,47493.193,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
5500,52201.096,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
6000,56908.417,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
6500,61619.313,1,nan,nan,nan,nan,0.4190779320987654,0.11217570754716981,0.0
