step,elapsed_sec,active_objective,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_soft_cell_acc,plus1_obj_soft_board_acc,plus1_obj_hard_cell_acc,plus1_obj_hard_board_acc,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_soft_cell_acc,minus1_obj_soft_board_acc,minus1_obj_hard_cell_acc,minus1_obj_hard_board_acc,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_soft_cell_acc,plus2_obj_soft_board_acc,plus2_obj_hard_cell_acc,plus2_obj_hard_board_acc,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_soft_cell_acc,minus2_obj_soft_board_acc,minus2_obj_hard_cell_acc,minus2_obj_hard_board_acc,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_soft_cell_acc,plus3_obj_soft_board_acc,plus3_obj_hard_cell_acc,plus3_obj_hard_board_acc,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_soft_cell_acc,minus3_obj_soft_board_acc,minus3_obj_hard_cell_acc,minus3_obj_hard_board_acc,minus3_obj_entropy,minus3_objective,j_plus,j_minus,raw_scalar,scalar,lr_scale,eps_scale,scalar_scale,best_step,bad_evals,param_l2,param_max_abs,params_finite,loss,cell_acc,board_acc,obj_ce,obj_prob_true,obj_margin,obj_soft_cell_acc,obj_soft_board_acc,obj_hard_cell_acc,obj_hard_board_acc,obj_entropy,objective,scheduler_event
1,2.104,quality,0.5020972490310669,0.49227914214134216,0.6806668043136597,0.5065584778785706,0.026184210553765297,0.5130921602249146,8.000012932830381e-42,0.6311577558517456,0.0,0.6925026774406433,0.5020972490310669,0.688206136226654,0.5025187730789185,0.010072003118693829,0.5050360560417175,2.872661851865875e-43,0.6267903447151184,0.0,0.6930502653121948,0.49227914214134216,0.5188820362091064,0.48270007967948914,0.6686245203018188,0.5135457515716553,0.053757574409246445,0.5268787741661072,1.8542177461730985e-39,0.6311577558517456,0.0,0.6905116438865662,0.5188820362091064,0.6974416375160217,0.49864161014556885,-0.005585108418017626,0.4972074329853058,1.0811014849669035e-38,0.3688422441482544,0.0,0.6915462017059326,0.48270007967948914,0.5290822386741638,0.4341125190258026,0.6651754379272461,0.5179886817932129,0.07064297050237656,0.5353214740753174,1.1178898856547e-37,0.6311577558517456,0.0,0.6849621534347534,0.5290822386741638,0.7631481885910034,0.4787006378173828,-0.08437417447566986,0.4578129053115845,3.7499723655273354e-22,0.3688422441482544,0.0,0.666350781917572,0.4341125190258026,0.5020972490310669,0.49227914214134216,0.0026220798492431648,5e-05,1.0,1.0,1.0,0,0,19.080819134803196,1.0000499486923218,True,0.6895037069916725,0.6365220811631944,0.0,0.6895037069916725,0.5019134730100632,0.007652884116396308,0.5038264468312263,2.2333194275176772e-43,0.636522077023983,0.0,0.6929635554552078,0.4908016622066498,best
250,290.414,quality,0.48150622844696045,0.513858437538147,0.6969863176345825,0.4981021285057068,-0.007590073626488447,0.4962049722671509,3.0828566215145976e-44,0.3541938066482544,0.015625,0.6931039690971375,0.48150622844696045,0.6730054616928101,0.5114625096321106,0.045530956238508224,0.5227654576301575,4.765816077168703e-40,0.6336805820465088,0.0,0.6903154850006104,0.513858437538147,0.4757389724254608,0.5121774077415466,0.7020690441131592,0.49573755264282227,-0.017032699659466743,0.4914836287498474,3.171138424767061e-42,0.3663194477558136,0.0,0.6927530765533447,0.4757389724254608,0.6730804443359375,0.5107309222221375,0.04273165762424469,0.5213658213615417,1.4567338315735068e-40,0.6336805820465088,0.0,0.6917214393615723,0.5121774077415466,0.4831191301345825,0.4798080623149872,0.6956318020820618,0.49876314401626587,-0.004947073757648468,0.49752649664878845,2.5223372357846707e-44,0.2720540463924408,0.0,0.6931362152099609,0.4831191301345825,0.6993071436882019,0.4974229037761688,-0.01034300122410059,0.4948284924030304,2.519086223347437e-40,0.3663194477558136,0.0,0.6921366453170776,0.4798080623149872,0.48150622844696045,0.513858437538147,-4.281324319418482e-05,-4.281324319418482e-05,1.0,1.0,1.0,1,0,19.08217889617872,1.002097725868225,True,0.6867208629846573,0.6160956488715278,0.0,0.6867208629846573,0.5035111233592033,0.014031972968950868,0.5070159882307053,1.300930461817552e-42,0.6160956546664238,0.0,0.6925493404269218,0.49468476697802544,
500,577.066,quality,0.5089190602302551,0.4876955449581146,0.6775892972946167,0.5094315409660339,0.03745141625404358,0.5187256932258606,7.405456007402004e-40,0.6099989414215088,0.0,0.6898032426834106,0.5089190602302551,0.691874086856842,0.5006387233734131,0.0025550066493451595,0.501277506351471,6.726232628759122e-44,0.7112901210784912,0.0,0.6931427717208862,0.4876955449581146,0.5106465816497803,0.4801027476787567,0.6750079989433289,0.5101266503334045,0.04024454578757286,0.5201222896575928,5.968942912668704e-40,0.6099989414215088,0.0,0.6909921169281006,0.5106465816497803,0.6989960670471191,0.497538685798645,-0.009862308390438557,0.49506887793540955,4.166158425330184e-40,0.3900010883808136,0.0,0.6922186613082886,0.4801027476787567,0.48799213767051697,0.48508188128471375,0.6917105913162231,0.5007617473602295,0.003044024109840393,0.5015219449996948,1.5974802493302915e-43,0.4075249433517456,0.0,0.6930596828460693,0.48799213767051697,0.6945338845252991,0.49957752227783203,-0.0017123552970588207,0.4991438090801239,2.1485688963953123e-40,0.3941785991191864,0.0,0.6926019787788391,0.48508188128471375,0.5089190602302551,0.4876955449581146,2.890211033480153e-05,2.890211033480153e-05,1.0,1.0,1.0,1,1,19.083961654948,1.0028702020645142,True,0.6809721514582634,0.6317477756076388,0.0,0.6809721514582634,0.5068191140890121,0.02720302203670144,0.5136015117168427,1.7084280552432089e-41,0.6317477822303772,0.0,0.6916731968522072,0.5027023777365685,
750,864.599,quality,0.5225763320922852,0.4939466416835785,0.6690516471862793,0.5151655673980713,0.05992884188890457,0.5299644470214844,1.1358050941575228e-38,0.6372341513633728,0.0,0.6868138313293457,0.5225763320922852,0.6869307160377502,0.5032038688659668,0.012808759696781635,0.5064043402671814,4.988622532996349e-43,0.6372341513633728,0.0,0.6929547786712646,0.4939466416835785,0.530415952205658,0.48327168822288513,0.6644297242164612,0.5185420513153076,0.07284089177846909,0.536420464515686,1.2837492534503426e-37,0.6372341513633728,0.0,0.6846019625663757,0.530415952205658,0.6956667900085449,0.49882766604423523,-0.004691614769399166,0.49765416979789734,2.8166099132928823e-43,0.3627658486366272,0.0,0.6929718852043152,0.48327168822288513,0.5352736711502075,0.4784506857395172,0.6609258651733398,0.520650327205658,0.08082026988267899,0.5404101610183716,5.350331970424991e-37,0.6372341513633728,0.0,0.6838196516036987,0.5352736711502075,0.7001817226409912,0.4968583881855011,-0.012576146982610226,0.4937119483947754,3.912705572087754e-41,0.3627658486366272,0.0,0.6923948526382446,0.4784506857395172,0.5225763320922852,0.4939466416835785,7.601641711703526e-05,5e-05,1.0,1.0,1.0,1,2,19.08415610071105,1.002945899963379,True,0.6776166409254074,0.6292656792534722,0.0,0.6776166409254074,0.5090309455990791,0.03594723576679826,0.5179736241698265,1.2394362303337379e-40,0.6292656809091568,0.0,0.6905905827879906,0.5080160051584244,
1000,1146.496,quality,0.5222015380859375,0.5058584213256836,0.6683578491210938,0.5150108933448792,0.05928117781877518,0.5296406149864197,1.1902313863820523e-38,0.6298828125,0.0,0.6878044605255127,0.5222015380859375,0.6796231865882874,0.508132815361023,0.03241816535592079,0.516209065914154,6.171598696579359e-41,0.6298828125,0.0,0.6903917789459229,0.5058584213256836,0.5305781364440918,0.5045351386070251,0.6627579927444458,0.5186019539833069,0.07305547595024109,0.5365277528762817,1.1742494372665813e-37,0.6298828125,0.0,0.6861345767974854,0.5305781364440918,0.680924654006958,0.5075810551643372,0.03025595284998417,0.5151280164718628,4.239348244121869e-41,0.6298828125,0.0,0.6902022957801819,0.5045351386070251,0.5350582003593445,0.5142197608947754,0.658375084400177,0.5204746723175049,0.08037611097097397,0.5401880741119385,1.4027230803955883e-37,0.6298828125,0.0,0.6867392659187317,0.5350582003593445,0.6758153438568115,0.5116381049156189,0.04622676596045494,0.5231133699417114,1.1841224257268283e-39,0.6298828125,0.0,0.6871730089187622,0.5142197608947754,0.5222015380859375,0.5058584213256836,2.9373723102164553e-05,2.9373723102164553e-05,1.0,1.0,1.0,1,3,19.08379400711722,1.0031331777572632,True,0.6746805012226105,0.6298082139756944,0.0,0.6746805012226105,0.5110576450824738,0.04391042189672589,0.5219552144408226,6.045914485690986e-40,0.629808209836483,0.0,0.6894537955522537,0.5128526389598846,
1250,1427.538,quality,0.5251064896583557,0.5163335204124451,0.6677716374397278,0.5162475109100342,0.06410317867994308,0.5320516228675842,2.8202431999511837e-38,0.6383463740348816,0.0,0.6859118938446045,0.5251064896583557,0.6717962622642517,0.5125045776367188,0.04961580038070679,0.524807870388031,1.2612597022925165e-39,0.6383463740348816,0.0,0.6894301176071167,0.5163335204124451,0.5288641452789307,0.512758731842041,0.6656014919281006,0.5178682804107666,0.07029369473457336,0.5351468324661255,9.923972182534154e-38,0.6383463740348816,0.0,0.6848015189170837,0.5288641452789307,0.6739552617073059,0.5110009908676147,0.043729767203330994,0.5218648910522461,3.722465292571017e-40,0.6383463740348816,0.0,0.6902964115142822,0.512758731842041,0.5232359766960144,0.5102798938751221,0.6671769022941589,0.5154251456260681,0.06096572428941727,0.5304828882217407,1.5479161825172762e-38,0.6383463740348816,0.0,0.6881591081619263,0.5232359766960144,0.6759204268455505,0.5099675059318542,0.039663657546043396,0.5198318958282471,1.9074754956082275e-40,0.6383463740348816,0.0,0.6904093623161316,0.5102798938751221,0.5251064896583557,0.5163335204124451,1.6017918822833203e-05,1.6017918822833203e-05,1.0,1.0,1.0,1,4,19.08447536125963,1.003902554512024,True,0.6730873286724091,0.6220974392361112,0.0,0.6730873286724091,0.5125999450683594,0.04986744886264205,0.5249337255954742,3.684828167442333e-39,0.6220974326133728,0.0,0.6879351660609245,0.5164587274193764,
1500,1709.764,quality,0.5567737221717834,0.5046553015708923,0.6470764875411987,0.5300676226615906,0.11619211733341217,0.5580960512161255,6.21368652779954e-36,0.6574164628982544,0.0,0.6785114407539368,0.5567737221717834,0.6796303391456604,0.5076181888580322,0.03041318990290165,0.5152065753936768,1.1936260319118792e-41,0.6574164628982544,0.0,0.6914198398590088,0.5046553015708923,0.5637746453285217,0.48909083008766174,0.6428719162940979,0.5332794785499573,0.12772008776664734,0.5638600587844849,3.113538430302094e-35,0.6574164628982544,0.0,0.6761038303375244,0.5637746453285217,0.690927267074585,0.5012110471725464,0.004848882555961609,0.5024244785308838,1.2051166793193427e-43,0.6574164628982544,0.0,0.6929457187652588,0.48909083008766174,0.5571816563606262,0.4809260964393616,0.6450586318969727,0.5301809310913086,0.11680483818054199,0.5584023594856262,8.5889133432465e-36,0.6574164628982544,0.0,0.6803015470504761,0.5571816563606262,0.6974486112594604,0.49786439538002014,-0.008541560731828213,0.4957292377948761,2.1019476964872256e-44,0.3175998330116272,0.0,0.6931171417236328,0.4809260964393616,0.5567737221717834,0.5046553015708923,7.877236399503253e-05,5e-05,1.0,1.0,1.0,1,5,19.084266671040435,1.0037174224853516,True,0.6672167703509331,0.6371731228298612,0.0,0.6672167703509331,0.5162952914834023,0.0642737289890647,0.5321368798613548,2.701959386382756e-38,0.637173131108284,0.0,0.6863632351160049,0.5252199098467827,best
1750,1988.68,quality,0.5268146991729736,0.5265462398529053,0.666278064250946,0.5169969201087952,0.06690046936273575,0.5334502458572388,5.939460153498696e-38,0.6325412392616272,0.0,0.6858722567558289,0.5268146991729736,0.6676744818687439,0.5168951749801636,0.06649945676326752,0.5332497358322144,8.133262403803028e-38,0.6325412392616272,0.0,0.6846926212310791,0.5265462398529053,0.5198522806167603,0.5191417336463928,0.6695663928985596,0.5140007138252258,0.055405907332897186,0.5277029871940613,5.1555648242452215e-39,0.6325412392616272,0.0,0.6886389851570129,0.5198522806167603,0.6721606850624084,0.5137173533439636,0.054308243095874786,0.5271541476249695,9.187897844933921e-39,0.6325412392616272,0.0,0.6866325736045837,0.5191417336463928,0.5056238770484924,0.5046967267990112,0.6781134009361267,0.508017897605896,0.031976982951164246,0.5159884691238403,2.5946442365438313e-41,0.6325412392616272,0.0,0.6921300292015076,0.5056238770484924,0.6811363101005554,0.5076406002044678,0.030532291159033775,0.5152661800384521,8.253227565333875e-41,0.6325412392616272,0.0,0.6898796558380127,0.5046967267990112,0.5268146991729736,0.5265462398529053,7.57730835885114e-07,7.57730835885114e-07,1.0,1.0,1.0,1500,0,19.083773151617137,1.0043989419937134,True,0.6682513952255249,0.6235487196180556,0.0,0.6682513952255249,0.5167042165994644,0.06561896437779069,0.5328094959259033,2.2390543115478497e-37,0.6235487163066864,0.0,0.6844796165823936,0.5260063633322716,
2000,2269.474,board_acc,0.0,0.0,0.6630415916442871,0.5191447734832764,0.07517623901367188,0.5375881195068359,5.441804250021029e-37,0.6392958164215088,0.0,0.6847697496414185,0.0,0.6666979193687439,0.5167631506919861,0.06609252095222473,0.5330462455749512,6.389342541315093e-38,0.6392958164215088,0.0,0.6859412789344788,0.0,0.0,0.0,0.6646620631217957,0.5172750949859619,0.06809070706367493,0.5340453386306763,7.537720085294538e-38,0.6392958164215088,0.0,0.6869360208511353,0.0,0.6732364296913147,0.5116261839866638,0.04618067294359207,0.5230903625488281,6.082742360956523e-40,0.6392958164215088,0.0,0.689758837223053,0.0,0.0,0.0,0.668188750743866,0.5145493149757385,0.0575992614030838,0.5287995934486389,5.879968867974864e-39,0.6392958164215088,0.0,0.688917875289917,0.0,0.6808724999427795,0.5065225958824158,0.026037154719233513,0.5130186080932617,7.155029958842516e-42,0.6392958164215088,0.0,0.6923682689666748,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1500,1,19.083821534764773,1.0043919086456299,True,0.6672559976577759,0.6252577039930556,0.0,0.6672559976577759,0.517413966357708,0.06833776691928506,0.5341688841581345,1.9212648540360464e-37,0.625257708132267,0.0,0.6840398386120796,0.0,restore_best_decay_to_0.5
2250,2557.28,board_acc,0.0,0.0,0.6687060594558716,0.517257034778595,0.06767930835485458,0.5338396430015564,1.3926786851071851e-37,0.6222873330116272,0.0,0.6829126477241516,0.0,0.673072099685669,0.51207035779953,0.04782490432262421,0.5239124298095703,1.5769526281263972e-39,0.6222873330116272,0.0,0.6890158653259277,0.0,0.0,0.0,0.6683139801025391,0.5186381936073303,0.07286792248487473,0.5364339351654053,4.614702741268966e-37,0.6222873330116272,0.0,0.6805204749107361,0.0,0.673930823802948,0.511056125164032,0.04389248043298721,0.5219461917877197,5.765572466541244e-40,0.6222873330116272,0.0,0.6902012228965759,0.0,0.0,0.0,0.6687254905700684,0.5186122059822083,0.07277850806713104,0.5363892316818237,5.296932858000781e-37,0.6222873330116272,0.0,0.6801698207855225,0.0,0.6726323366165161,0.5117172598838806,0.04649190232157707,0.5232459306716919,9.70378167067971e-40,0.6222873330116272,0.0,0.6901700496673584,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.5,1500,0,19.08430895950817,1.003739595413208,True,0.6695090532302856,0.6275702582465278,0.0,0.6695090532302856,0.5151485800743103,0.05975160235539079,0.5298757925629616,2.2636356264655736e-38,0.6275702565908432,0.0,0.6863752901554108,0.0,
