step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus_1,j_minus_1,plus1_obj_ce,plus1_obj_prob_true,plus1_obj_margin,plus1_obj_soft_cell_acc,plus1_obj_soft_board_acc,plus1_obj_entropy,plus1_objective,minus1_obj_ce,minus1_obj_prob_true,minus1_obj_margin,minus1_obj_soft_cell_acc,minus1_obj_soft_board_acc,minus1_obj_entropy,minus1_objective,j_plus_2,j_minus_2,plus2_obj_ce,plus2_obj_prob_true,plus2_obj_margin,plus2_obj_soft_cell_acc,plus2_obj_soft_board_acc,plus2_obj_entropy,plus2_objective,minus2_obj_ce,minus2_obj_prob_true,minus2_obj_margin,minus2_obj_soft_cell_acc,minus2_obj_soft_board_acc,minus2_obj_entropy,minus2_objective,j_plus_3,j_minus_3,plus3_obj_ce,plus3_obj_prob_true,plus3_obj_margin,plus3_obj_soft_cell_acc,plus3_obj_soft_board_acc,plus3_obj_entropy,plus3_objective,minus3_obj_ce,minus3_obj_prob_true,minus3_obj_margin,minus3_obj_soft_cell_acc,minus3_obj_soft_board_acc,minus3_obj_entropy,minus3_objective,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,1.568,3,0.7016646414995193,0.45328125,0.0,0.45169921875,0.0,0.0007840425823815167,0.479042649269104,0.4791059195995331,0.7008836269378662,0.4970948100090027,-0.011566199362277985,0.4942169189453125,2.193016968021766e-08,0.6912327408790588,0.479042649269104,0.7008814811706543,0.4971213936805725,-0.011460776440799236,0.49426960945129395,2.197104009837858e-08,0.6911817193031311,0.4791059195995331,0.478990763425827,0.4791174530982971,0.7009103298187256,0.4970732033252716,-0.011651827022433281,0.49417412281036377,2.1889851709033792e-08,0.6912493109703064,0.478990763425827,0.7009059190750122,0.49712640047073364,-0.01144072413444519,0.4942796230316162,2.197199044928766e-08,0.6911474466323853,0.4791174530982971,0.47892504930496216,0.47911545634269714,0.7009547352790833,0.4970459043979645,-0.011759823188185692,0.4941200911998749,2.1835941055314834e-08,0.6912596225738525,0.47892504930496216,0.7009472846984863,0.49712586402893066,-0.011442668735980988,0.4942786395549774,2.1960076423965802e-08,0.6911073327064514,0.47911545634269714,0.479042649269104,0.4791059195995331,0.00041436354513280094,26.237722396850586,1.003071665763855,True
250,141.807,2,0.7012114077806473,0.457109375,0.0,0.45236328125,0.0,0.0007246930617839098,0.4771042466163635,0.47717636823654175,0.7025173902511597,0.4962973892688751,-0.014742434024810791,0.4926287829875946,2.0824206359293385e-08,0.6911961436271667,0.4771042466163635,0.702430248260498,0.49632713198661804,-0.014625110663473606,0.492687463760376,2.0868698769049843e-08,0.6912235021591187,0.47717636823654175,0.4770733416080475,0.4772186577320099,0.7025549411773682,0.4962846338748932,-0.014792585745453835,0.49260368943214417,2.0806069755963108e-08,0.6911842226982117,0.4770733416080475,0.702379584312439,0.49634453654289246,-0.014556236565113068,0.4927218556404114,2.0895946306609403e-08,0.6912391185760498,0.4772186577320099,0.4770452678203583,0.4772659242153168,0.7025892734527588,0.49627313017845154,-0.014838204719126225,0.4925808608531952,2.0790084320765345e-08,0.6911730766296387,0.4770452678203583,0.7023233771324158,0.496364027261734,-0.014479434117674828,0.4927603006362915,2.0927124921854556e-08,0.6912561655044556,0.4772659242153168,0.4771042466163635,0.47717636823654175,1.3747795492236037e-05,26.237850189208984,1.0033131837844849,True
500,282.508,3,0.7012009173631668,0.456875,0.0,0.44873046874999994,0.0,0.000704182602930814,0.47751206159591675,0.4774811267852783,0.7021524310112,0.4964652359485626,-0.014074854552745819,0.4929625689983368,2.0910681186592228e-08,0.6912248134613037,0.47751206159591675,0.7022214531898499,0.4964527189731598,-0.014124049805104733,0.49293792247772217,2.089136685867743e-08,0.6911811232566833,0.4774811267852783,0.4775330126285553,0.47747018933296204,0.7021108865737915,0.4964737594127655,-0.014041241258382797,0.49297934770584106,2.092507145334821e-08,0.6912490725517273,0.4775330126285553,0.7022503018379211,0.496448278427124,-0.014141369611024857,0.4929293096065521,2.0885428497763314e-08,0.6911612153053284,0.47747018933296204,0.4775584936141968,0.4774615168571472,0.702063798904419,0.4964841604232788,-0.014000432565808296,0.492999792098999,2.094331108537517e-08,0.6912751793861389,0.4775584936141968,0.7022762894630432,0.49644482135772705,-0.014154933393001556,0.49292251467704773,2.0881335771605336e-08,0.6911422610282898,0.4774615168571472,0.47751206159591675,0.4774811267852783,8.795850590104237e-06,26.237594604492188,1.0027694702148438,True
750,423.046,0,0.7018184512853622,0.45140625,0.0,0.4462890625,0.0,0.0006896522827446461,0.4780556857585907,0.47794774174690247,0.7016737461090088,0.4966888129711151,-0.013184831477701664,0.49340760707855225,2.217949734983904e-08,0.691255509853363,0.4780556857585907,0.7018367052078247,0.496644526720047,-0.013359223492443562,0.49332037568092346,2.2110082653625796e-08,0.6911817789077759,0.47794774174690247,0.4781102240085602,0.47789445519447327,0.7015920877456665,0.49671119451522827,-0.013096553273499012,0.49345168471336365,2.2215171924244714e-08,0.6912919878959656,0.4781102240085602,0.7019179463386536,0.49662262201309204,-0.013445348478853703,0.49327731132507324,2.2076282135685688e-08,0.691144585609436,0.47789445519447327,0.47816529870033264,0.4778416156768799,0.7015106081962585,0.49673378467559814,-0.013007497414946556,0.49349623918533325,2.225152506696304e-08,0.6913280487060547,0.47816529870033264,0.7019989490509033,0.4966009557247162,-0.013530710712075233,0.49323466420173645,2.2043090908141494e-08,0.6911073327064514,0.4778416156768799,0.4780556857585907,0.47794774174690247,6.76086619932903e-06,26.236675262451172,1.0001721382141113,True
1000,563.791,3,0.7012971490621567,0.45578125,0.0,0.45173828125,0.0,0.0006780489347875118,0.4761965870857239,0.4759071469306946,0.7031903266906738,0.49592453241348267,-0.016232719644904137,0.49188363552093506,1.944635030781683e-08,0.6912690997123718,0.4761965870857239,0.7035436034202576,0.4958053529262543,-0.016703283414244652,0.4916483163833618,1.9197292644435038e-08,0.6911554932594299,0.4759071469306946,0.47634389996528625,0.475765585899353,0.7030127048492432,0.4959851801395416,-0.015993084758520126,0.4920034408569336,1.957323370049835e-08,0.6913245916366577,0.47634389996528625,0.703718900680542,0.49574699997901917,-0.016933443024754524,0.4915332794189453,1.9075381274547e-08,0.6910974979400635,0.475765585899353,0.47649261355400085,0.47562623023986816,0.7028350830078125,0.49604636430740356,-0.015751199796795845,0.49212440848350525,1.9701433373597865e-08,0.6913793087005615,0.47649261355400085,0.7038931846618652,0.4956895411014557,-0.0171598419547081,0.49142006039619446,1.8955310210344578e-08,0.6910387277603149,0.47562623023986816,0.4761965870857239,0.4759071469306946,5.680004505848046e-06,26.237585067749023,1.0026720762252808,True
