step,elapsed_sec,best_agent,best_loss,best_cell_acc,best_board_acc,avg_cell_acc,avg_board_acc,theta_spread,j_plus,j_minus,update_norm,theta_l2,theta_max_abs,theta_finite
1,1.191,2,0.7029049694538116,0.4515625,0.0,0.45029296874999997,0.0,0.0007688477053306997,-0.700196385383606,-0.7034591436386108,0.0021930832881480455,26.248828887939453,1.0028280019760132,True
250,88.69,1,0.703045979142189,0.45078125,0.0,0.4476171875,0.0,0.0005184586043469608,-0.7006555795669556,-0.704108476638794,7.017570897005498e-05,26.24842643737793,1.0025100708007812,True
500,176.469,1,0.7027022540569305,0.45296875,0.0,0.45119140625,0.0,0.0004490922437980771,-0.7037864923477173,-0.7047708034515381,2.9771596018690616e-05,26.248342514038086,1.00223708152771,True
750,264.494,0,0.7024589478969574,0.45390625,0.0,0.45066406249999996,0.0,0.00040458489092998207,-0.7038780450820923,-0.7032985091209412,2.0392149963299744e-05,26.248186111450195,1.0005974769592285,True
1000,352.505,0,0.702643409371376,0.452734375,0.0,0.45007812500000005,0.0,0.00037162707303650677,-0.7057909965515137,-0.7027232646942139,2.7009155019186437e-05,26.248165130615234,1.000648021697998,True
1250,440.441,1,0.702254980802536,0.45609375,0.0,0.45232421875,0.0,0.00034548412077128887,-0.7034422159194946,-0.7033453583717346,1.2429550224624109e-05,26.248226165771484,1.001842737197876,True
1500,528.44,3,0.7027057856321335,0.453125,0.0,0.45187499999999997,0.0,0.0003238709468860179,-0.7014187574386597,-0.701784610748291,1.0651446245901752e-05,26.24795913696289,1.0016618967056274,True
1750,616.402,0,0.7025190889835358,0.453828125,0.0,0.44951171875,0.0,0.00030549909570254385,-0.7057164907455444,-0.7017343640327454,2.3639528080821037e-05,26.248140335083008,1.0007480382919312,True
2000,704.417,2,0.7030258476734161,0.450859375,0.0,0.44779296875,0.0,0.00028956279857084155,-0.7042644619941711,-0.7052274942398071,9.27120890992228e-06,26.248172760009766,1.0017101764678955,True
2250,792.296,3,0.7024393379688263,0.45484375,0.0,0.4500390625,0.0,0.00027553128893487155,-0.7031018733978271,-0.7015083432197571,1.0366723472543526e-05,26.247955322265625,1.0015692710876465,True
2500,880.236,1,0.7026230245828629,0.453515625,0.0,0.44939453125,0.0,0.00026303017511963844,-0.7042449712753296,-0.7022754549980164,1.0947551345452666e-05,26.24816131591797,1.0016942024230957,True
2750,968.158,2,0.7026344835758209,0.453125,0.0,0.45046875,0.0,0.00025177988572977483,-0.702742338180542,-0.7036830186843872,6.975725227675866e-06,26.248144149780273,1.0016354322433472,True
3000,1056.195,2,0.7030618488788605,0.4503125,0.0,0.44611328125,0.0,0.0002415749622741714,-0.7048468589782715,-0.7039859294891357,6.256788765313104e-06,26.248144149780273,1.0016180276870728,True
3250,1144.213,2,0.7029060870409012,0.45140625,0.0,0.44837890625,0.0,0.000232254431466572,-0.7029968500137329,-0.7055943012237549,1.1436620297899935e-05,26.248140335083008,1.0016032457351685,True
3500,1232.088,0,0.7030550390481949,0.450078125,0.0,0.4475390625,0.0,0.00022369470389094204,-0.7030534148216248,-0.7007536292076111,9.882794984150678e-06,26.248071670532227,1.0008838176727295,True
3750,1320.07,3,0.7032966762781143,0.44890625,0.0,0.44794921875,0.0,0.00021579187887255102,-0.7009893655776978,-0.7022010684013367,6.033784302417189e-06,26.247989654541016,1.0014435052871704,True
